사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노인사고,2020010100100081,2020년 1월 1일 06시,수요일,부산광역시 해운대구 재송동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,자전거,남,70세,중상
노인사고,2020010100100137,2020년 1월 1일 11시,수요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,자전거,남,77세,중상
노인사고,2.02001E+15,2020년 1월 1일 19시,수요일,부산광역시 강서구 강동동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,68세,경상
노인사고,2020010100100308,2020년 1월 1일 20시,수요일,부산광역시 사하구 괴정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,65세,경상
노인사고,2020010200100037,2020년 1월 2일 06시,목요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,원동기,남,70세,부상신고,승용,남,63세,상해없음
노인사고,2020010200100086,2020년 1월 2일 08시,목요일,부산광역시 기장군 기장읍,부상신고사고,0,0,0,3,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,66세,상해없음,화물,남,67세,부상신고
노인사고,2020010200100135,2020년 1월 2일 10시,목요일,부산광역시 동구 범일동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,43세,경상,승용,남,63세,상해없음
노인사고,2020010200100221,2020년 1월 2일 13시,목요일,부산광역시 해운대구 반여동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,78세,경상,승용,남,61세,상해없음
노인사고,2020010200100274,2020년 1월 2일 15시,목요일,부산광역시 사하구 감천동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,승용,남,71세,경상
노인사고,2020010200100387,2020년 1월 2일 18시,목요일,부산광역시 서구 동대신동2가,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,보행자,여,71세,중상
노인사고,2020010300100049,2020년 1월 3일 06시,금요일,부산광역시 남구 우암동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,보행자,여,66세,중상
노인사고,2.02001E+15,2020년 1월 3일 06시,금요일,부산광역시 동래구 명륜동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,45세,상해없음,승용,남,67세,경상
노인사고,2020010300100167,2020년 1월 3일 11시,금요일,부산광역시 사하구 하단동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,기타불명,남,76세,경상
노인사고,2020010300100208,2020년 1월 3일 12시,금요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,81세,경상,화물,남,56세,상해없음
노인사고,2020010300100271,2020년 1월 3일 14시,금요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,승용,남,73세,경상
노인사고,2020010300100307,2020년 1월 3일 15시,금요일,부산광역시 수영구 망미동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,원동기,남,76세,중상
노인사고,2020010400100047,2020년 1월 4일 03시,토요일,부산광역시 남구 대연동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,19세,상해없음,승용,남,72세,경상
노인사고,2020010400100168,2020년 1월 4일 11시,토요일,부산광역시 서구 서대신동2가,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,62세,경상,승용,남,66세,경상
노인사고,2.02001E+15,2020년 1월 4일 11시,토요일,부산광역시 금정구 노포동,중상사고,0,1,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,36세,중상
노인사고,2020010400100282,2020년 1월 4일 15시,토요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,승합,남,43세,상해없음,승용,여,71세,경상
노인사고,2020010400100418,2020년 1월 4일 19시,토요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,보행자,남,65세,경상
노인사고,2020010400100466,2020년 1월 4일 21시,토요일,부산광역시 해운대구 중동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,이륜,남,42세,상해없음,보행자,여,70세,중상
노인사고,2020010500100093,2020년 1월 5일 09시,일요일,부산광역시 금정구 금사동,경상사고,0,0,4,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승합,남,59세,경상,승용,여,51세,경상
노인사고,2020010500100244,2020년 1월 5일 15시,일요일,부산광역시 금정구 구서동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,보행자,남,68세,경상
노인사고,2020010500100286,2020년 1월 5일 17시,일요일,부산광역시 부산진구 당감동,중상사고,0,2,11,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,55세,기타불명,승용,남,69세,중상
노인사고,2020010500100316,2020년 1월 5일 18시,일요일,부산광역시 부산진구 전포동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,여,78세,중상
노인사고,2020010600100086,2020년 1월 6일 08시,월요일,부산광역시 남구 대연동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,53세,상해없음,보행자,여,67세,중상
노인사고,2020010600100149,2020년 1월 6일 10시,월요일,부산광역시 중구 남포동2가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,여,76세,경상
노인사고,2020010600100633,2020년 1월 6일 22시,월요일,부산광역시 중구 남포동6가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,56세,상해없음,보행자,여,67세,중상
노인사고,2020010700100062,2020년 1월 7일 06시,화요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,45세,상해없음,승용,남,67세,경상
노인사고,2020010700100246,2020년 1월 7일 12시,화요일,부산광역시 서구 동대신동3가,중상사고,0,1,1,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,화물,남,68세,경상,승용,여,29세,중상
노인사고,2020010700100309,2020년 1월 7일 14시,화요일,부산광역시 금정구 서동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,흐림,교차로 - 교차로안,화물,남,59세,상해없음,보행자,여,66세,중상
노인사고,2020010700100392,2020년 1월 7일 17시,화요일,부산광역시 서구 아미동2가,경상사고,0,0,3,0,차대차 - 정면충돌,중앙선침범,젖음/습기,비,단일로 - 기타,승용,남,51세,상해없음,승용,남,66세,경상
노인사고,2020010700100394,2020년 1월 7일 17시,화요일,부산광역시 금정구 서동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,34세,상해없음,원동기,남,52세,경상
노인사고,2020010800100092,2020년 1월 8일 07시,수요일,부산광역시 동래구 사직동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,46세,경상
노인사고,2020010800100195,2020년 1월 8일 10시,수요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,남,49세,상해없음,승용,남,70세,경상
노인사고,2020010800100286,2020년 1월 8일 13시,수요일,부산광역시 서구 암남동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,65세,경상
노인사고,2020010800100433,2020년 1월 8일 18시,수요일,부산광역시 사하구 장림동,중상사고,0,4,0,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,남,36세,중상
노인사고,2020010800100522,2020년 1월 8일 20시,수요일,부산광역시 서구 충무동1가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,59세,상해없음,보행자,여,73세,중상
노인사고,2020010900100246,2020년 1월 9일 14시,목요일,부산광역시 서구 서대신동3가,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,원동기,남,70세,부상신고,승용,남,51세,상해없음
노인사고,2020010900100285,2020년 1월 9일 15시,목요일,부산광역시 기장군 정관읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,72세,경상
노인사고,2020010900100319,2020년 1월 9일 16시,목요일,부산광역시 수영구 망미동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,이륜,남,68세,중상
노인사고,2.02001E+15,2020년 1월 9일 17시,목요일,부산광역시 중구 신창동4가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,보행자,남,65세,중상
노인사고,2020010900100391,2020년 1월 9일 18시,목요일,부산광역시 동래구 낙민동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,이륜,남,65세,부상신고
노인사고,2020010900100483,2020년 1월 9일 20시,목요일,부산광역시 사상구 덕포동,부상신고사고,0,0,0,1,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승합,남,67세,부상신고,이륜,남,22세,상해없음
노인사고,2020011000100307,2020년 1월 10일 14시,금요일,부산광역시 영도구 남항동3가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,여,49세,상해없음,보행자,여,65세,중상
노인사고,2020011000100378,2020년 1월 10일 16시,금요일,부산광역시 동래구 수안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,74세,중상
