사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노인운전자사고,2020010100100137,2020년 1월 1일 11시,수요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,자전거,남,77세,중상
노인운전자사고,2020010200100037,2020년 1월 2일 06시,목요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,원동기,남,70세,부상신고,승용,남,63세,상해없음
노인운전자사고,2020010200100086,2020년 1월 2일 08시,목요일,부산광역시 기장군 기장읍,부상신고사고,0,0,0,3,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,66세,상해없음,화물,남,67세,부상신고
노인운전자사고,2020010200100162,2020년 1월 2일 11시,목요일,부산광역시 남구 용당동,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,남,66세,상해없음,승용,여,28세,경상
노인운전자사고,2020010200100163,2020년 1월 2일 11시,목요일,부산광역시 남구 용당동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,74세,상해없음,승용,여,28세,경상
노인운전자사고,2020010200100164,2020년 1월 2일 11시,목요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,65세,상해없음,원동기,남,27세,경상
노인운전자사고,2020010200100221,2020년 1월 2일 13시,목요일,부산광역시 해운대구 반여동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,78세,경상,승용,남,61세,상해없음
노인운전자사고,2020010200100251,2020년 1월 2일 14시,목요일,부산광역시 사상구 엄궁동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,67세,상해없음,승용,여,40세,경상
노인운전자사고,2020010200100274,2020년 1월 2일 15시,목요일,부산광역시 사하구 감천동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,승용,남,71세,경상
노인운전자사고,2020010300100049,2020년 1월 3일 06시,금요일,부산광역시 남구 우암동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,보행자,여,66세,중상
노인운전자사고,2020010300100083,2020년 1월 3일 08시,금요일,부산광역시 사하구 괴정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,77세,상해없음,이륜,남,21세,경상
노인운전자사고,2020010300100208,2020년 1월 3일 12시,금요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,81세,경상,화물,남,56세,상해없음
노인운전자사고,2020010300100237,2020년 1월 3일 13시,금요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,71세,상해없음,원동기,남,42세,경상
노인운전자사고,2.02001E+15,2020년 1월 3일 14시,금요일,부산광역시 부산진구 가야동,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,건설기계,남,65세,상해없음,승용,남,61세,경상
