사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
렌터카사고,2020010100100137,2020년 1월 1일 11시,수요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,자전거,남,77세,중상
렌터카사고,2020010300100039,2020년 1월 3일 04시,금요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,이륜,여,32세,경상
렌터카사고,2020010400100047,2020년 1월 4일 03시,토요일,부산광역시 남구 대연동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,19세,상해없음,승용,남,72세,경상
렌터카사고,2020010500100391,2020년 1월 5일 21시,일요일,부산광역시 사상구 감전동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,45세,상해없음,승용,남,42세,중상
렌터카사고,2020010700100653,2020년 1월 7일 21시,화요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,41세,상해없음,승용,남,38세,경상
렌터카사고,2020010800100286,2020년 1월 8일 13시,수요일,부산광역시 서구 암남동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,남,65세,경상
렌터카사고,2020011000100539,2020년 1월 10일 20시,금요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승합,남,61세,상해없음
렌터카사고,2020011100100141,2020년 1월 11일 10시,토요일,부산광역시 금정구 노포동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,41세,경상
렌터카사고,2020011100100543,2020년 1월 11일 22시,토요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,21세,상해없음,보행자,남,28세,경상
렌터카사고,2020011200100022,2020년 1월 12일 01시,일요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,39세,경상
렌터카사고,2020011400100441,2020년 1월 14일 18시,화요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,12세,경상
렌터카사고,2.02001E+15,2020년 1월 15일 15시,수요일,부산광역시 수영구 망미동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,승용,남,49세,상해없음,승용,여,40세,경상
렌터카사고,2020011700100475,2020년 1월 17일 19시,금요일,부산광역시 남구 용호동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,52세,중상
렌터카사고,2020012100100018,2020년 1월 21일 01시,화요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,16세,상해없음,승용,남,61세,상해없음
렌터카사고,2020012100100026,2020년 1월 21일 02시,화요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,이륜,남,24세,경상
렌터카사고,2020012100100264,2020년 1월 21일 12시,화요일,부산광역시 동구 좌천동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,이륜,남,52세,경상
렌터카사고,2020012100100717,2020년 1월 21일 22시,화요일,부산광역시 영도구 청학동,경상사고,0,0,5,1,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,여,35세,경상
렌터카사고,2020012200100466,2020년 1월 22일 18시,수요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,57세,경상
렌터카사고,2020012300100204,2020년 1월 23일 11시,목요일,부산광역시 강서구 대저2동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,여,46세,경상
렌터카사고,2020012500100317,2020년 1월 25일 21시,토요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,승용,여,54세,상해없음
렌터카사고,2020012600100045,2020년 1월 26일 05시,일요일,부산광역시 동래구 낙민동,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,화물,남,59세,중상
렌터카사고,2020012700100356,2020년 1월 27일 20시,월요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,32세,기타불명,승용,남,61세,경상
렌터카사고,2020012700100399,2020년 1월 27일 21시,월요일,부산광역시 사상구 덕포동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,승용,남,60세,상해없음
렌터카사고,2020012800100238,2020년 1월 28일 13시,화요일,부산광역시 남구 문현동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,승용,남,25세,경상
렌터카사고,2020012900100068,2020년 1월 29일 07시,수요일,부산광역시 부산진구 전포동,사망사고,1,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,이륜,남,33세,사망
렌터카사고,2020012900100087,2020년 1월 29일 08시,수요일,부산광역시 북구 만덕동,중상사고,0,1,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,51세,경상,승용,남,28세,중상
렌터카사고,2020012900100411,2020년 1월 29일 19시,수요일,부산광역시 동래구 온천동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,여,73세,중상
렌터카사고,2020013100100496,2020년 1월 31일 21시,금요일,부산광역시 서구 충무동1가,중상사고,0,1,1,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,부상신고,승용,남,62세,경상
렌터카사고,2020020200100166,2020년 2월 2일 13시,일요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,20세,상해없음,승용,남,58세,경상
렌터카사고,2020020300100306,2020년 2월 3일 14시,월요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,이륜,남,37세,경상
렌터카사고,2020020400100129,2020년 2월 4일 09시,화요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,건설기계,남,57세,상해없음
렌터카사고,2.02002E+15,2020년 2월 4일 11시,화요일,부산광역시 기장군 정관읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,이륜,남,34세,경상
렌터카사고,2020020400100499,2020년 2월 4일 19시,화요일,부산광역시 동구 초량동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,승용,남,55세,경상
렌터카사고,2020020700100274,2020년 2월 7일 13시,금요일,부산광역시 사하구 하단동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,화물,남,40세,경상
렌터카사고,2020020700100538,2020년 2월 7일 19시,금요일,부산광역시 강서구 범방동,중상사고,0,1,0,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,32세,상해없음
렌터카사고,2020020800100215,2020년 2월 8일 12시,토요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,이륜,남,22세,중상
렌터카사고,2.02002E+15,2020년 2월 9일 13시,일요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,승용,남,82세,경상
렌터카사고,2020020900100338,2020년 2월 9일 19시,일요일,부산광역시 강서구 신호동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,기타불명,이륜,남,41세,경상
렌터카사고,2020021100100036,2020년 2월 11일 03시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,18세,상해없음,승용,남,24세,경상
