사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
무면허사고,2020010400100047,2020년 1월 4일 03시,토요일,부산광역시 남구 대연동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,19세,상해없음,승용,남,72세,경상
무면허사고,2020010400100352,2020년 1월 4일 17시,토요일,부산광역시 강서구 송정동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,25세,기타불명,승용,남,48세,중상
무면허사고,2020010500100149,2020년 1월 5일 12시,일요일,부산광역시 북구 덕천동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,48세,상해없음,승용,여,48세,상해없음
무면허사고,2020010800100592,2020년 1월 8일 23시,수요일,부산광역시 수영구 남천동,중상사고,0,2,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,34세,중상
무면허사고,2020010900100066,2020년 1월 9일 07시,목요일,부산광역시 사하구 구평동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,이륜,남,50세,중상
무면허사고,2020011000100593,2020년 1월 10일 22시,금요일,부산광역시 사하구 장림동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,25세,부상신고,승용,남,67세,상해없음
무면허사고,2020011200100023,2020년 1월 12일 01시,일요일,부산광역시 기장군 기장읍,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,기타,기타,교차로 - 교차로안,원동기,남,16세,상해없음,,,,
무면허사고,2020011300100154,2020년 1월 13일 11시,월요일,부산광역시 금정구 서동,경상사고,0,0,2,1,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,이륜,남,17세,부상신고,승용,여,70세,경상
무면허사고,2020011800100211,2020년 1월 18일 12시,토요일,부산광역시 동래구 온천동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,남,39세,경상
무면허사고,2020012000100001,2020년 1월 20일 00시,월요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,이륜,남,24세,상해없음,승용,남,47세,상해없음
무면허사고,2020012000100293,2020년 1월 20일 13시,월요일,부산광역시 중구 남포동4가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,이륜,남,26세,상해없음,보행자,남,53세,중상
무면허사고,2020012000100337,2020년 1월 20일 14시,월요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,보행자,남,68세,경상
무면허사고,2020012000100464,2020년 1월 20일 17시,월요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,22세,상해없음,승합,남,58세,상해없음
무면허사고,2020012100100018,2020년 1월 21일 01시,화요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,16세,상해없음,승용,남,61세,상해없음
무면허사고,2.02001E+15,2020년 1월 21일 14시,화요일,부산광역시 사상구 주례동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,이륜,남,17세,상해없음,승용,남,30세,경상
무면허사고,2020012100100685,2020년 1월 21일 21시,화요일,부산광역시 동래구 안락동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,51세,상해없음,원동기,여,27세,경상
무면허사고,2020012300100113,2020년 1월 23일 08시,목요일,부산광역시 사하구 당리동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,남,66세,상해없음,승용,여,49세,경상
무면허사고,2020012300100203,2020년 1월 23일 11시,목요일,부산광역시 금정구 노포동,중상사고,0,3,5,1,차대차 - 정면충돌,안전운전불이행,젖음/습기,맑음,교차로 - 교차로부근,화물,남,80세,상해없음,승용,남,47세,부상신고
무면허사고,2020012300100611,2020년 1월 23일 19시,목요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 교량,이륜,남,63세,상해없음,보행자,여,65세,중상
무면허사고,2020012600100013,2020년 1월 26일 01시,일요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,승용,남,19세,경상
무면허사고,2020012700100065,2020년 1월 27일 05시,월요일,부산광역시 동래구 명륜동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,20세,상해없음,승용,남,23세,경상
무면허사고,2020012900100036,2020년 1월 29일 03시,수요일,부산광역시 부산진구 당감동,경상사고,0,0,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,18세,경상,,,,
무면허사고,2020012900100411,2020년 1월 29일 19시,수요일,부산광역시 동래구 온천동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,여,73세,중상
무면허사고,2020020200100077,2020년 2월 2일 07시,일요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,29세,기타불명,승용,남,70세,경상
무면허사고,2020020300100138,2020년 2월 3일 10시,월요일,부산광역시 해운대구 좌동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,승용,남,42세,중상
무면허사고,2020020600100217,2020년 2월 6일 11시,목요일,부산광역시 금정구 금사동,중상사고,0,1,0,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,71세,상해없음,화물,남,29세,상해없음
무면허사고,2020020600100362,2020년 2월 6일 15시,목요일,부산광역시 해운대구 반여동,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 고가도로위,개인형이동수단(PM),남,14세,부상신고,,,,
무면허사고,2020020700100468,2020년 2월 7일 18시,금요일,부산광역시 남구 용호동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,50세,상해없음,보행자,남,49세,경상
무면허사고,2020020800100042,2020년 2월 8일 02시,토요일,부산광역시 해운대구 좌동,경상사고,0,0,3,0,차대차 - 정면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,36세,경상
무면허사고,2020021000100124,2020년 2월 10일 08시,월요일,부산광역시 강서구 송정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,여,29세,경상
무면허사고,2020021000100349,2020년 2월 10일 15시,월요일,부산광역시 북구 구포동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,70세,상해없음,보행자,남,51세,부상신고
무면허사고,2020021100100036,2020년 2월 11일 03시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,18세,상해없음,승용,남,24세,경상
무면허사고,2020021200100088,2020년 2월 12일 07시,수요일,부산광역시 강서구 구랑동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,38세,상해없음,화물,남,62세,상해없음
무면허사고,2020021300100089,2020년 2월 13일 08시,목요일,부산광역시 동구 좌천동,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,16세,중상,승용,남,38세,상해없음
