연령,합계,월,발생건수
20세이하,7099,1,452
21~30세,29775,1,2260
31~40세,31606,1,2620
41~50세,38036,1,3057
51~60세,50421,1,4218
61~64세,18175,1,1529
65세이상,31072,1,2527
미분류,3470,1,305
20세이하,7099,2,480
21~30세,29775,2,2315
31~40세,31606,2,2580
41~50세,38036,2,3080
51~60세,50421,2,3961
61~64세,18175,2,1407
65세이상,31072,2,2167
미분류,3470,2,295
20세이하,7099,3,521
21~30세,29775,3,2120
31~40세,31606,3,2346
41~50세,38036,3,2762
51~60세,50421,3,3608
61~64세,18175,3,1262
65세이상,31072,3,2097
미분류,3470,3,233
20세이하,7099,4,612
21~30세,29775,4,2238
31~40세,31606,4,2478
41~50세,38036,4,3006
51~60세,50421,4,3874
61~64세,18175,4,1394
65세이상,31072,4,2344
미분류,3470,4,240
20세이하,7099,5,644
21~30세,29775,5,2570
31~40세,31606,5,2730
41~50세,38036,5,3256
51~60세,50421,5,4416
61~64세,18175,5,1554
65세이상,31072,5,2708
미분류,3470,5,306
20세이하,7099,6,644
21~30세,29775,6,2700
31~40세,31606,6,2858
41~50세,38036,6,3391
51~60세,50421,6,4555
61~64세,18175,6,1704
65세이상,31072,6,2870
미분류,3470,6,295
20세이하,7099,7,709
21~30세,29775,7,2728
31~40세,31606,7,2738
41~50세,38036,7,3281
51~60세,50421,7,4359
61~64세,18175,7,1549
65세이상,31072,7,2648
미분류,3470,7,290
20세이하,7099,8,596
21~30세,29775,8,2582
31~40세,31606,8,2604
41~50세,38036,8,3173
51~60세,50421,8,4225
61~64세,18175,8,1552
65세이상,31072,8,2618
미분류,3470,8,266
20세이하,7099,9,640
21~30세,29775,9,2555
31~40세,31606,9,2671
41~50세,38036,9,3239
51~60세,50421,9,4372
61~64세,18175,9,1550
65세이상,31072,9,2801
미분류,3470,9,296
20세이하,7099,10,689
21~30세,29775,10,2760
31~40세,31606,10,2783
41~50세,38036,10,3426
51~60세,50421,10,4492
61~64세,18175,10,1657
65세이상,31072,10,3124
미분류,3470,10,324
20세이하,7099,11,578
21~30세,29775,11,2575
31~40세,31606,11,2733
41~50세,38036,11,3345
51~60세,50421,11,4351
61~64세,18175,11,1632
65세이상,31072,11,2902
미분류,3470,11,322
20세이하,7099,12,534
21~30세,29775,12,2372
31~40세,31606,12,2465
41~50세,38036,12,3020
51~60세,50421,12,3990
61~64세,18175,12,1385
65세이상,31072,12,2266
미분류,3470,12,298
