사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010500100263,2022년 1월 5일 17시,수요일,경상남도 김해시 부곡동,경상사고,0,0,1,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,49세,부상신고
2022011000100129,2022년 1월 10일 09시,월요일,경상남도 진주시 호탄동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,화물,남,40세,중상
2022011100100252,2022년 1월 11일 13시,화요일,경상남도 창원시 의창구 북면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,57세,경상
2022011400100367,2022년 1월 14일 16시,금요일,경상남도 사천시 곤양면,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,56세,경상
2022011700100078,2022년 1월 17일 08시,월요일,전라남도 광양시 광양읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,54세,상해없음,승용,남,30세,상해없음
2022012200100113,2022년 1월 22일 10시,토요일,경상남도 함안군 가야읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,48세,경상
2022012800100531,2022년 1월 28일 19시,금요일,경상남도 진주시 문산읍,경상사고,0,0,2,2,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,특수,남,61세,상해없음,승용,남,37세,경상
2022021000100086,2022년 2월 10일 09시,목요일,경상남도 김해시 풍유동,경상사고,0,0,1,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,화물,남,59세,상해없음
2022021200100100,2022년 2월 12일 10시,토요일,경상남도 창원시 의창구 동읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,33세,경상
2022021900100148,2022년 2월 19일 12시,토요일,전라남도 광양시 진월면,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,76세,상해없음,승용,남,65세,상해없음
