사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100021,2022년 1월 1일 02시,토요일,경기도 성남시 수정구 수진동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,30세,중상
2022010200100017,2022년 1월 2일 03시,일요일,인천광역시 부평구 일신동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,28세,상해없음,화물,남,56세,경상
2022010200100375,2022년 1월 2일 21시,일요일,경기도 김포시 고촌읍,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,승용,여,42세,경상
2022010300100044,2022년 1월 3일 06시,월요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,35세,경상
2022010300100103,2022년 1월 3일 08시,월요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,승용,여,40세,경상
2022010300100550,2022년 1월 3일 19시,월요일,경기도 구리시 인창동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,29세,상해없음,승용,남,47세,경상
2022010300100551,2022년 1월 3일 19시,월요일,경기도 하남시 광암동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,38세,경상
2022010300100617,2022년 1월 3일 21시,월요일,경기도 시흥시 대야동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,42세,상해없음,승용,남,30세,경상
2022010400100056,2022년 1월 4일 07시,화요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,37세,상해없음,승용,남,54세,경상
2022010400100134,2022년 1월 4일 09시,화요일,경기도 구리시 인창동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,여,49세,상해없음
