사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100198,2020년 1월 1일 15시,수요일,서울특별시 도봉구 방학동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,보행자,여,69세,경상
2020010100100286,2020년 1월 1일 19시,수요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,흐림,기타 - 기타,승용,여,72세,상해없음,보행자,여,77세,중상
2020010100100288,2020년 1월 1일 19시,수요일,서울특별시 강동구 암사동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,보행자,남,68세,경상
2020010100100333,2020년 1월 1일 21시,수요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,34세,상해없음,보행자,남,80세,경상
2020010200100036,2020년 1월 2일 06시,목요일,ㄴ서울특별시 양천구 신정동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,여,55세,상해없음,보행자,여,73세,중상
2020010200100112,2020년 1월 2일 09시,목요일,서울특별시 구로구 구로동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,13세,기타불명,보행자,여,83세,중상
2020010200100183,2020년 1월 2일 12시,목요일,서울특별시 성북구 동선동1가,경상사고,0,0,2,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,자전거,남,14세,상해없음,보행자,여,76세,경상
2020010200100184,2020년 1월 2일 12시,목요일,서울특별시 동대문구 휘경동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,여,83세,부상신고
2020010200100376,2020년 1월 2일 18시,목요일,서울특별시 강북구 수유동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,49세,상해없음,보행자,남,76세,중상
2020010200100443,2020년 1월 2일 19시,목요일,서울특별시 동작구 신대방동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승합,남,26세,상해없음,보행자,여,74세,경상
2020010200100497,2020년 1월 2일 21시,목요일,서울특별시 은평구 녹번동,중상사고,0,3,0,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,이륜,남,32세,상해없음,보행자,남,43세,중상
2020010300100343,2020년 1월 3일 16시,금요일,서울특별시 성북구 삼선동4가,중상사고,0,1,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,60세,상해없음,보행자,남,77세,경상
2020010300100383,2020년 1월 3일 17시,금요일,서울특별시 관악구 남현동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,보행자,여,71세,경상
2020010300100519,2020년 1월 3일 20시,금요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,여,77세,중상
2020010300100591,2020년 1월 3일 23시,금요일,서울특별시 서대문구 홍제동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,29세,경상,보행자,남,78세,경상
2020010400100167,2020년 1월 4일 11시,토요일,서울특별시 강남구 대치동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,여,67세,중상
2020010400100313,2020년 1월 4일 16시,토요일,서울특별시 강남구 개포동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,17세,상해없음,보행자,여,67세,중상
2020010400100383,2020년 1월 4일 18시,토요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,71세,경상
2020010400100493,2020년 1월 4일 22시,토요일,서울특별시 관악구 남현동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,보행자,남,68세,중상
2020010500100016,2020년 1월 5일 01시,일요일,서울특별시 중구 필동2가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,74세,중상
2020010500100062,2020년 1월 5일 06시,일요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,72세,상해없음,보행자,남,76세,경상
2020010500100080,2020년 1월 5일 08시,일요일,서울특별시 성북구 장위동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,77세,상해없음,보행자,여,80세,중상
2020010500100147,2020년 1월 5일 12시,일요일,서울특별시 구로구 개봉동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,남,62세,상해없음,보행자,여,80세,경상
2020010500100176,2020년 1월 5일 13시,일요일,서울특별시 도봉구 방학동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,78세,상해없음,보행자,남,79세,중상
2020010600100024,2020년 1월 6일 05시,월요일,서울특별시 노원구 상계동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,보행자,남,71세,중상
