"2023 3/4 서울특별시 구 별 인구","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"합계","계",9655918,220964,310468,361253,390134,607352,843252,801275,674439,754830,706800,814559,714371,730420,606658,417635,318066,228182,108880,36421,8417,1542
"종로구","계",151127,2556,3880,4783,5803,12793,14590,11692,9274,10415,10152,12974,11837,11768,9375,6277,5300,4373,2286,760,200,39
"중구","계",131825,2934,3312,3151,3692,8674,12609,12563,10195,9807,8455,10463,9942,10291,8655,5875,4724,3699,1879,695,182,28
"용산구","계",230692,5670,6920,7219,7880,12884,20227,22656,18790,18630,16196,19635,17051,16962,13513,8876,7075,5760,3272,1154,260,62
"성동구","계",285543,8139,9252,8522,10022,19128,25596,24544,22240,22615,19386,23635,21545,21931,17122,11318,9005,6899,3361,1013,220,50
"광진구","계",351959,6670,9430,11574,13525,27586,39007,32977,24521,25696,24117,28481,26175,26027,20419,13307,10167,7332,3516,1117,272,43
"동대문구","계",359113,8177,10554,10943,12747,32876,36201,28002,23665,26132,23547,27924,25318,26587,22492,15677,12585,9542,4428,1377,280,59
"중랑구","계",387940,8870,10907,11699,12738,20370,31513,32361,26581,28619,25672,32620,32826,35215,28351,18874,14119,10196,4524,1471,356,58
"성북구","계",440089,10106,14645,16754,19701,36385,36187,30459,27905,32971,32109,39091,32240,31797,26659,18532,14961,11789,5530,1767,440,61
"강북구","계",294804,4786,7273,9189,10528,18263,22575,19583,16582,20337,20594,26324,24529,26122,22104,16283,13431,10189,4501,1263,293,55
"도봉구","계",310133,5765,8782,10712,12035,17252,21311,20396,18076,21679,21561,27878,26515,28663,24376,16162,12603,9867,4551,1548,336,65
"노원구","계",504423,10861,16092,21657,26359,34930,34066,32417,29600,37014,39684,47255,39296,39808,33507,22435,16993,12936,6590,2306,533,84
"은평구","계",471155,10338,14500,17006,18984,26143,36705,36219,31039,36513,35028,41754,36283,37823,31309,22025,17601,13364,6255,1822,384,60
"서대문구","계",321379,7556,10593,10922,12224,26752,30328,25169,21762,23824,21940,26498,23081,23098,18780,13006,10855,8839,4413,1384,295,60
"마포구","계",375639,9012,12243,12977,14350,26415,38202,36014,29950,30577,27907,31434,25101,23995,18886,13023,10747,8648,4339,1462,302,55
"양천구","계",440591,9230,16614,23611,24399,24616,28889,27952,26305,35935,37602,41056,34434,34528,28514,19101,13029,8620,4166,1574,348,68
"강서구","계",569978,13590,18290,20646,21593,30154,50895,54766,43708,46609,41197,44492,39276,43833,37324,25257,17908,11862,5826,2138,532,82
"구로구","계",416815,10911,13425,14572,14626,21054,31975,34565,30843,32961,30090,35242,33254,34147,28279,20052,14594,9962,4498,1383,328,54
"금천구","계",242076,4981,6006,6472,7041,12228,24293,23340,16962,16732,15635,20487,21222,21884,16400,10997,8147,5759,2480,809,167,34
"영등포구","계",398290,11062,12706,11876,12161,20730,38774,41350,33048,31327,26948,31928,29889,29516,23322,16062,12179,9050,4548,1449,301,64
"동작구","계",390740,8741,11986,12672,14274,28759,40186,34188,27328,29129,26954,31079,27423,28077,23438,16952,13452,9572,4605,1508,350,67
"관악구","계",500582,7515,9917,11492,14720,38860,75708,57196,34544,33494,30562,35790,32352,33768,28154,21264,16543,11894,4951,1494,306,58
"서초구","계",410766,10515,17637,22902,22155,22461,28355,29607,28488,36580,36640,37412,27593,25660,22542,16247,12482,7803,3867,1383,374,63
"강남구","계",546291,12014,21019,30661,30990,29803,39663,41645,38244,49352,49708,49449,35771,32684,30021,21779,16459,9853,4798,1790,493,95
"송파구","계",661515,17866,26248,29337,28526,34930,51448,55796,51002,57697,50152,54312,47654,48942,41550,27388,18765,11513,5579,2195,517,98
"강동구","계",462453,13099,18237,19904,19061,23306,33949,35818,33787,40185,34964,37346,33764,37294,31566,20866,14342,8861,4117,1559,348,80
