구,사고건수,구_code,predicted_accidents
강남구,3709,0,2732.35
강동구,1151,1,1811.47
강북구,1044,2,1474.99
강서구,1606,3,1469.11
관악구,1172,4,1235.14
광진구,708,5,1202.44
구로구,1274,6,1149.9
금천구,844,7,981.86
노원구,1384,8,1146.58
도봉구,522,9,769.72
동대문구,1534,10,1213.77
동작구,1217,11,1324.2
마포구,1065,12,1118.52
서대문구,974,13,1116.11
서초구,2264,14,1867.66
성동구,948,15,1248.28
성북구,1288,16,1382.91
송파구,2581,17,2070.01
양천구,1165,18,1621.19
영등포구,1998,19,1340.1
용산구,1014,20,1031.0
은평구,918,21,944.61
종로구,974,22,957.23
중구,943,23,985.64
중랑구,1401,24,1232.89
