0,1,2,3,4,5,6,7,8
연번,자치구,시장명,형태,신주소(구주소),유형,전화번호,건물형(연면적),점포수(빈점포제외)
총계,서울시,369,"57,178",,,,,
소계,종로구,27,"8,646",,,,,
1,종로구,광장시장,건물형,종로구 창경궁로 88(종로구 예지동 6-1),등록,2272-0967,"18,975",482
2,종로구,동대문종합시장,건물형,종로구 종로 266(종로구 종로6가 289-42),등록,2262-0211,"61,476","3,270"
3,종로구,동대문종합시장 신관,건물형,종로구 종로272(종로구 종로6가 289-57),등록,2262-0211,"13,533",286
4,종로구,동대문종합시장D동상가,건물형,종로구 종로 266(종로구 종로6가 262-1),등록,2279-8751~2,"12,452","1,048"
5,종로구,신설종합시장,건물형,종로구 난계로27길 51(종로구 숭인동 206-9),등록,2234-7151,"1,691",141
6,종로구,종각지하쇼핑센터,지하도상가,종로구 종로 지하 73(종로구 종로2가 11-1 일대),등록,722-8970,"4,723",69
7,종로구,종오지하쇼핑센터,지하도상가,종로구 종로 지하 200(종로구 종로4가 176-1 일대),등록,"4,165",65,
8,종로구,종로4가지하쇼핑센터,지하도상가,종로구 창경궁로 지하 81(종로구 예지동 187-2 일대),인정,2275-2076,"2,997",102
9,종로구,마전교지하쇼핑센터(구한일상가),지하도상가,종로구 동호로 지하 398(종로구 종로5가 194-1 일대),인정,2269-3380,"1,210",29
10,종로구,동대문지하쇼핑센터,지하도상가,종로구 율곡로 지하 308(종로구 종로6가 287-1 일대),인정,2290-6545,"2,285",48
11,종로구,통인시장,골목형,종로구 자하문로15길 16(종로구 통인동 10-3),인정,722-0911,"4,421",73
12,종로구,종로신진시장,골목형,종로구 종로38길16 일대(종로구 종로5가 225-21 일대),인정,2272-6001,"1,336",55
13,종로구,한일상가,건물형,종로구 청계천로 229(종로구 종로5가 314-7),인정,2266-3242,"4,894",67
14,종로구,광장전통시장,골목형,종로구 창경궁로 88 일대(종로구 예지동 293-1),상점가,2269-8855,"49,384",957
15,종로구,충신시장,골목형,종로구 율곡로22길 일대(종로구 충신동 35-8 일대),상점가,"1,000",29,
16,종로구,세종마을음식문화거리,골목형,종로구 자하문로 1길 일대(종로구 내자동 1-2 일대),상점가,"5,850",103,
17,종로구,창신골목시장,골목형,종로구 종로51길 18 일대(종로구 창신동 142-33 일대),상점가,745-8878,"6,000",119
18,종로구,세운상가가동,건물형,종로구 청계천로 159(종로구 장사동 116-4),상점가,2271-2344,"11,547",348
19,종로구,동묘시장,골목형,종로구 종로 58길40(종로구 숭인동 241-1 일대),상점가,"6,917",121,
20,종로구,동대문문구완구거리,골목형,종로구 종로52길 36 일대(종로구 창신동 390-29 일대),상점가,747-1900,"8,693",129
21,종로구,동문시장,건물형,종로구 종로44길 14(종로구 창신동 437-1),등록,764-4766,"9,739",136
22,종로구,낙원시장,건물형,종로구 삼일대로 428(종로구 낙원동 284-6),무등록,743-4200,"4,889",227
23,종로구,낙원지하시장(대일상가),건물형,종로구 삼일대로 428(종로구 낙원동 284-6),무등록,"6,594",64,
24,종로구,동대문상가A동,건물형,종로구 청계천로 295(종로구 창신동 436-79),무등록,"4,735",168,
25,종로구,동대문상가B동,건물형,종로구 청계천로 307(종로구 창신동 436-78),무등록,"4,735",234,
26,종로구,동대문상가C동,건물형,종로구 청계천로 319(종로구 창신동 436-65),무등록,"4,735",175,
27,종로구,동대문상가D동,건물형,종로구 청계천로 331(종로구 창신동 436-64),무등록,"8,370",101,
소계,중구,50,"21,008",,,,,
28,중구,남대문시장,건물형,중구 남대문시장 4길 21(남창동 49번지),등록,779-8657,"64,612","4,190"
29,중구,숭례문수입상가,건물형,중구 소월로 3 (남창동 51-1),등록,779-2951,"45,479",503
30,중구,중부시장,골목형,중구 을지로 36길 35  (오장동 139-11),등록,02-2267-5617~9,"20,707",375
31,중구,방산종합시장,건물형,중구 동호로 37길 20(주교동 19-1),등록,2268-6691/070-8844-0728,"23,336",542
32,중구,서울중앙시장,골목형,중구 퇴계로 85길 36 (황학동 442번지 일대),등록,2232-9559,"24,522",209
33,중구,평화시장,건물형,중구 청계천로 274 (을지로6가 17),등록,2279-2193,"27,704","1,915"
34,중구,통일상가,건물형,중구 청계천로 260-14(을지로6가 17),등록,2269-1969,"15,146",637
35,중구,동화상가,건물형,중구 장충단로 13길 34  (을지로6가 17-145),등록,2265-9611,"18,707",596
36,중구,남평화시장,건물형,중구 장충단로 282-10            (신당동 772),등록,2252-4415,"7,266",677
37,중구,제일평화시장,건물형,중구 마장로 13 (신당동 775),등록,"9,804",630,
38,중구,벨포스트 (舊에리어식스),건물형,중구 마장로 19 (신당동 776),등록,2231-4678,"4,379",223
39,중구,광희패션몰,건물형,중구 마장로 1길 21(신당동 777),등록,2238-9889,"8,601","1,110"
40,중구,청평화시장,건물형,중구 청계천로 334(신당동 217-91),등록,2252-8036,"12,917","1,151"
41,중구,삼익패션타운,건물형,중구 남대문시장 8길 7(남창동 5),등록,774-1531,"29,620",812
42,중구,신중부시장,골목형,중구 동호로33길 24 (오장동),인정,2273-0006,"7,523",251
43,중구,자유상가,건물형,중구 남대문로 36(회현동 202-1),인정,753-0787,"8,646",173
44,중구,신평화패션타운,건물형,중구 청계천로 298 (신당동 217-1),인정,2253-0714,"13,494",938
45,중구,동평화시장,건물형,"청계천로 318(신당동 217-92, 95~97)",인정,763-3597,"24,768","1,214"
46,중구,인현시장,상점가,중구 퇴계로 41길 45  (인현동 2가 192-3),상점가,2274-6006,"6,702",64
47,중구,방산시장,상점가,중구 을지로 33길 18-1(주교동 250-1),상점가,2266-8765,"66,691","1,050"
48,중구,소공지하도상가,지하도상가,중구 소공로지하 102(소공동 87),인정,775-2234,"3,517",139
49,중구,을지로지하보도쇼핑센터,지하도상가,중구 을지로 88/131/218(을지로2가 161),상점가,2274-4659,"20,334",208
50,중구,회현지하쇼핑센터,지하도상가,중구 소공로지하 58 (충무로1가 52-41),인정,3789-5512,"2,498",221
51,중구,시청광장 지하쇼핑센터,지하도상가,중구 을지로지하 12(을지로2가 12),인정,773-3004,"2,087",51
52,중구,명동역지하도상가,지하도상가,중구 퇴계로 지하 124(충무로2가 65-12),인정,318-1473,"2,215",69
53,중구,을지입구지하상가,지하도상가,중구 을지로지하 58 (을지로2가 197지하),상점가,752-7522,"1,225",64
54,중구,청계6가 지하도상가,지하도상가,중구 장충단로 지하 280(을지로6가 18-11),인정,2275-4812,"1,094",45
55,중구,남대문로 지하상가,지하도상가,중구 남대문로 14(중구 남대문로3가 13-3 ),인정,773-0999,"2,163",79
56,중구,명동지하쇼핑센터,지하도상가,중구 남대문로지하 72(남대문로2가 123),인정,776-3681,"3,838",58
