"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자"
"3090000","PHMA220073090033021200001","2007-05-22","","01","영업/정상","13","영업중","","","","","02-902-3294","","","서울특별시 도봉구 쌍문동 509번지 1호 백운빌딩","서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)","01365","퍼스트요양병원","2023-06-28 11:17:30","U","2022-12-05 21:00:00.0","요양병원(일반요양병원)","201177.743198866","461734.803519059","","","","","","","","","","","","","","","",""
"3060000","PHMA220203060034021200001","2020-05-29","","01","영업/정상","13","영업중","","","","","02-2038-0100","820.24","","","서울특별시 중랑구 망우로 400, 2층~3층(201호~204호,301호~304호) (망우동)","02163","경동한방병원","2023-12-18 09:22:53","U","2022-11-01 22:00:00.0","한방병원","208463.248123914","455158.833604184","","","","","","","","","","","","","","","",""
"3240000","PHMA220193240033021200001","2019-01-24","","01","영업/정상","13","영업중","","","","","02-1899-5868","4025.06","","서울특별시 강동구 성내동 452 지하3, 지하1 일부, 1~5층","서울특별시 강동구 강동대로 143-52, 지하3, 지하1 일부, 1~5층 (성내동)","05398","포레스트한방병원","2023-11-13 14:09:03","U","2022-10-31 23:05:00.0","한방병원","210587.488645319","447299.229870215","","","","","","","","","","","","","","","",""
"3140000","PHMA220193140033021200001","2019-12-13","","01","영업/정상","13","영업중","","","","","02-2601-7111","7140.05","","서울특별시 양천구 신정동 1268 복합메디컬타운","서울특별시 양천구 중앙로 181, 복합메디컬타운 3~8층 (신정동)","08106","서울스마트요양병원","2024-01-05 16:45:20","U","2023-12-01 00:07:00.0","요양병원(일반요양병원)","187181.28483799","445624.366466149","","","","","","","","","","","","","","","",""
"3180000","PHMA220053180034021200007","2006-12-01","","01","영업/정상","13","영업중","","","","","02-2634-7000","3554.79","","","서울특별시 영등포구 양평로22사길 9 (양평동5가)","07203","서울은빛요양병원","2024-01-03 10:03:49","U","2023-12-01 00:05:00.0","요양병원(일반요양병원)","190648.410812888","448737.352190615","","","","","","","","","","","","","","","",""
"3170000","PHMA220073170035021200001","2007-01-03","","01","영업/정상","13","영업중","","","","","02-867-7056","","153-801","서울특별시 금천구 가산동 151번지 36호","서울특별시 금천구 가산로 122 (가산동)","08529","성지병원","2023-07-07 08:13:15","U","2022-12-06 23:04:00.0","정신병원","190457.772817906","441601.325701114","","","","","","","","","","","","","","","",""
"3220000","PHMA220093220033021200007","2009-11-30","","01","영업/정상","13","영업중","","","","","02-6925-1111","2201.9","","","서울특별시 강남구 역삼로 245, 지하2층일부 1층일부 2~7층 (역삼동)","06225","하나이비인후과병원","2024-01-11 22:01:58","U","2023-11-30 23:03:00.0","병원","203732.302296988","443970.119760002","","","","","","","","","","","","","","","",""
"3150000","PHMA220233150037021200001","2023-05-03","","01","영업/정상","13","영업중","","","","","02-1600-8205","","","서울특별시 강서구 내발산동 654","서울특별시 강서구 강서로 357 (내발산동)","07632","서울필병원","2023-05-03 11:16:15","I","2022-12-05 00:07:00.0","병원","185569.392871863","450611.074306467","","","","","","","","","","","","","","","",""
"3120000","PHMA218853120033021200001","1974-03-25","","01","영업/정상","13","영업중","","","","","02-2228-0114","300677.02","","","서울특별시 서대문구 연세로 50-1 (신촌동)","03722","연세대학교의과대학세브란스병원","2023-12-26 14:48:37","U","2022-11-01 22:08:00.0","종합병원","194584.959249312","451381.585492051","","","","","","","","","","","","","","","",""
"3220000","PHMA220233220033021200001","2023-07-28","","01","영업/정상","13","영업중","","","","","02-333-8801","2687.55","","서울특별시 강남구 삼성동 52-17 마디빌딩 지하3층~지하1층,2층~9층","서울특별시 강남구 삼성로 646, 마디빌딩 B3~B1,2~9층 (삼성동)","06084","청담해리슨병원","2023-09-04 11:16:47","U","2022-12-09 00:06:00.0","병원","204457.767008807","446164.986306256","","","","","","","","","","","","","","","",""
