"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"서울꽃동네신내노인요양원","A0001","(노인) 노인요양시설","노인의료복지시설","자치구","최은숙","1126000000","중랑구","서울특별시 중랑구 신내로 194 ","234","234","02-490-2609","02052"
"청운노인요양원","A0003","(노인) 노인요양시설","노인의료복지시설","자치구","이종후","1111000000","종로구","서울특별시 종로구 비봉길 76 (구기동)","45","45","02-3217-0057","03001"
"천사노인요양원","A0007","(노인) 노인요양시설","노인의료복지시설","자치구","김샛별","1150000000","강서구","서울특별시 강서구 강서로45다길 30-22","161","151","02-2602-2443","07704"
"서울특별시립 남부노인전문요양원","A0016","(노인) 노인요양시설","노인의료복지시설","자치구","한철수","1156000000","영등포구","경기도 군포시 고산로 589","190","188","031-390-1003","15820"
"노인요양센터 인영실버","A0099","(노인) 노인요양시설","노인의료복지시설","자치구","이희법","1154500000","금천구","서울특별시 금천구 금하로 596-0 ","96","84","02-804-6141","08632"
"동명노인복지센타","A0100","(노인) 노인요양시설","노인의료복지시설","자치구","김병한","1162000000","관악구","서울특별시 관악구 봉천로23라길 15(봉천동)","90","90","02-875-2770","151829"
"영기노인요양원","A0131","(노인) 노인요양시설","노인의료복지시설","자치구","김원제","1135000000","노원구","서울특별시 노원구 동일로248길 30 (상계동)","83","83","02-939-8111","01623"
"은천노인요양센터","A0343","(노인) 노인요양시설","노인의료복지시설","자치구","박애자","1123000000","동대문구","서울특별시 동대문구 장한로27가길 66 (장안동)","28","29","02-2249-9980","02527"
"동작실버센터","A0347","(노인) 노인요양시설","노인의료복지시설","자치구","이재희","1159000000","동작구","서울특별시 동작구 노량진로32길 53 (본동)","68","68","02-821-8600","06908"
"구립서초노인요양센터","A0368","(노인) 노인요양시설","노인의료복지시설","자치구","나종선","1165000000","서초구","서울특별시 서초구 남부순환로340길 21 (서초동 380-4)","200","200","02-597-5008","06756"
"구립서초노인요양센터","A0386","(노인) 노인요양시설","노인의료복지시설","자치구","이민정","1165000000","서초구","서울특별시 서초구 남부순환로340길21","200","184","02-597-5008","06756"
"광림노인전문요양원","A0400","(노인) 노인요양시설","노인의료복지시설","자치구","홍종환","1168000000","강남구","강원 춘천시 서면 경춘로 771-79(서면)","100","89","033-263-3995","24463"
"사랑의집","A0519","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","김원태","1117000000","용산구","서울특별시 용산구 효창원로15길 24(산천동)","9","8","02-715-9020","04357"
"청운노인복지센터","A0607","(노인) 노인요양시설","노인의료복지시설","자치구","손창숙","1159000000","동작구","서울특별시 동작구 국사봉1길 145(상도동)","100","100","02-823-3833","156844"
"두엄자리","A0765","(노인) 노인요양시설","노인의료복지시설","자치구","김명화","1147000000","양천구","서울특별시 양천구 목동중앙남로16다길 6-13 (목동)","22","21","02-2642-8267","07952"
"청운실버센터","A0937","(노인) 노인요양공동생활가정","노인의료복지시설","자치구","이지원","1111000000","종로구","서울특별시 종로구 자하문로28길 29 (청운동)","9","9","02-730-4966","03047"
"시립중계노인전문요양원","A0974","(노인) 노인요양시설","노인의료복지시설","자치구","민동세","1135000000","노원구","서울특별시 노원구 섬밭로 313 (중계동)","258","256","02-3399-7500","01771"
"시립서부노인전문요양센터","A1025","(노인) 노인요양시설","노인의료복지시설","자치구","이희근","1144000000","마포구","서울특별시 마포구 월드컵로36길 15 (성산동)","270","270","02-376-0472","03937"
"중앙소규모요양시설","A1302","(노인) 노인요양시설","노인의료복지시설","자치구","박형준","1141000000","서대문구","서울특별시 서대문구 서소문로 43-49 (합동)","24","24","02-362-9262","03741"
"남부실버요양원","A1307","(노인) 노인요양시설","노인의료복지시설","자치구","송평섭","1154500000","금천구","서울특별시 금천구 범안로12가길 59","28","27","02-804-1957","08602"
