"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"참사랑데이케어센터","A0166","(노인) 재가노인복지시설","재가노인복지시설","자치구","최신영","1171000000","송파구","서울특별시 송파구 마천로 89","17","16","02-3401-5558","05655"
"우리사랑재가노인지원센터","A0564","(노인) 재가노인복지시설","재가노인복지시설","자치구","정춘선","1123000000","동대문구","서울특별시 동대문구 휘경로12길 83(휘경동)","40","30","02-2215-8027","130876"
"동대문실버데이케어센터","A0638","(노인) 재가노인복지시설","재가노인복지시설","자치구","이동수","1100000000","서울특별시","서울특별시 동대문구 약령시로5길 223층 동대문실버데이케어센터","23","23","02-920-4547","02476"
"한국씨니어노인복지센터","A0681","(노인) 재가노인복지시설","재가노인복지시설","자치구","반명규","1159000000","동작구","서울특별시 동작구 상도로30길 82층","0","0","02-815-1922","06964"
"목동종합사회복지관병설목동노인복지센터","A0707","(노인) 재가노인복지시설","재가노인복지시설","자치구","유영덕","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 104목동종합사회복지관 2층","24","24","02-2651-0809","07949"
"효림재가노인지원센터","A0738","(노인) 재가노인복지시설","재가노인복지시설","자치구","김동숙","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62-01-38","","671","02-313-5124","03746"
"용산재가노인지원센터","A0773","(노인) 재가노인복지시설","재가노인복지시설","자치구","권용자","1117000000","용산구","서울특별시 용산구 한강대로 43길 13 대우아이빌 712호(한강로동)","134","134","02-792-7882","04376"
"길음노인복지센터","A0789","(노인) 재가노인복지시설","재가노인복지시설","자치구","장민균","1129000000","성북구","서울특별시 성북구 삼양로2길 55 (길음동)","17","17","02-989-0161","02732"
"남산실버복지센터","A0839","(노인) 재가노인복지시설","재가노인복지시설","자치구","박창남","1114000000","중구","서울특별시 중구 동호로5길 189 (신당동)","34","34","02-2238-9941","04595"
"행복창조노인복지센터(방문요양)","A0877","(노인) 재가노인복지시설","재가노인복지시설","자치구","김현훈","1138000000","은평구","서울특별시 은평구 응암로21길 10(응암동)","20","23","02-382-1442","03456"
"정수데이케어센터","A1000","(노인) 재가노인복지시설","재가노인복지시설","자치구","권기현","1120000000","성동구","서울특별시 성동구 한림말길 16-5 (옥수동)","21","21","02-2282-1126","04736"
"우리모두데이케어센터","A1074","(노인) 재가노인복지시설","재가노인복지시설","자치구","김기철","1150000000","강서구","서울특별시 강서구 화곡로63가길 92","17","17","02)2658-1118","07577"
"푸른햇살데이케어센터","A1082","(노인) 재가노인복지시설","재가노인복지시설","자치구","최성숙","1162000000","관악구","서울특별시 관악구 난곡로 110(난항동)","22","22","02-851-2833","08860"
"시립동부데이케어센터","A1103","(노인) 재가노인복지시설","재가노인복지시설","자치구","곽금봉","1120000000","성동구","서울특별시 성동구 마장로23길 12 (홍익동)","35","35","02-3407-2738","04706"
"휘경데이케어센터","A1144","(노인) 재가노인복지시설","재가노인복지시설","자치구","정국인","1123000000","동대문구","서울특별시 동대문구 망우로20가길 34-6(휘경동)","20","18","02-2249-0173","02501"
"한마음방문요양센터","A1153","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은점","1150000000","강서구","서울특별시 강서구 초록마을로14길 44 (화곡동)","80","0","02-2607-7315","07722"
"참사랑재가노인지원센터","A1193","(노인) 재가노인복지시설","재가노인복지시설","자치구","조병기","1150000000","강서구","서울특별시 강서구 곰달래로 852층","80","80","02-2606-9559","07772"
"아현노인복지센터","A1216","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤승임","1144000000","마포구","서울특별시 마포구 마포대로26길 19-0(공덕동)","25","25","02-365-3677","04201"
"어르신이행복한세상주야간보호센터","A1294","(노인) 재가노인복지시설","재가노인복지시설","자치구","박병택","1147000000","양천구","서울특별시 양천구 신월로 338원빌딩 2층","9","7","02-2646-3898","08086"
"중계데이케어센터","A1372","(노인) 재가노인복지시설","재가노인복지시설","자치구","구종회","1135000000","노원구","서울특별시 노원구 중계4동 358주공3단지내","35","32","02-952-0502","01711"
"상계데이케어센터","A1434","(노인) 재가노인복지시설","재가노인복지시설","자치구","박용철","1135000000","노원구","서울특별시 노원구 덕릉로115나길 25상계데이케어센터 (상계동)","18","18","02-951-9997","01638"
"갈현데이케어센터","A1605","(노인) 재가노인복지시설","재가노인복지시설","자치구","손진호","1138000000","은평구","서울특별시 은평구 통일로89길 12-6갈현노인복지관","21","19","02-357-2640","03328"
"약수데이케어센터","A1609","(노인) 재가노인복지시설","재가노인복지시설","자치구","강경희","1159000000","동작구","서울특별시 동작구 양녕로36길 132층(상도동)","24","24","02-825-7071","06965"
"보사노인복지센터","A1676","(노인) 재가노인복지시설","재가노인복지시설","자치구","한서경","1144000000","마포구","서울특별시 마포구 성미산로29안길 302층 (연남동)(연남동)","12","12","02-3273-6692","03980"
"송파노인복지센터","A1717","(노인) 재가노인복지시설","재가노인복지시설","자치구","이후자","1171000000","송파구","서울특별시 송파구 백제고분로41길 19-24신원빌딩","21","21","02-2202-3677","05625"
"효림데이케어센터","A1721","(노인) 재가노인복지시설","재가노인복지시설","자치구","김동금","1141000000","서대문구","서울특별시 서대문구 경기대로9길 624층","17","17","02-313-5124","03746"
"은천재가노인지원센터","A1722","(노인) 재가노인복지시설","재가노인복지시설","자치구","노선영","1123000000","동대문구","서울특별시 동대문구 장한로27가길 53(장안2동)","120","122","02-2249-0580","02527"
"한빛데이케어센터","A1963","(노인) 재가노인복지시설","재가노인복지시설","자치구","권구택","1147000000","양천구","서울특별시 양천구 신월로11길 16(신월4동)","28","27","02-2698-9977","08031"
"청담노인복지센터","A1980","(노인) 재가노인복지시설","재가노인복지시설","자치구","유지훈","1154500000","금천구","서울특별시 금천구 금하로29길 36(시흥2동)","21","21","070-4680-2461","08656"
"한사랑복지센터","A2055","(노인) 재가노인복지시설","재가노인복지시설","자치구","한정옥","1162000000","관악구","서울특별시 관악구 은천로 83-1","0","0","02-3285-8969","08715"
"송파치매주.야간보호센터","A2065","(노인) 재가노인복지시설","재가노인복지시설","자치구","이경수","1171000000","송파구","서울특별시 송파구 백제고분로32길 41","34","32","02-3431-6736","05598"
"홍은데이케어센터","A2069","(노인) 재가노인복지시설","재가노인복지시설","자치구","백영수","1141000000","서대문구","서울특별시 서대문구 홍은중앙로9길 21홍은중앙로9길 21 ","21","21","02-391-1355","03602"
"노인주간보호센터은빛마을","A2075","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은주","1165000000","서초구","서울특별시 서초구 신반포로 33길 22(잠원동)반포종합사회복지관 2층","21","21","02-3477-1011","06522"
"노원1치매데이케어센터","A2104","(노인) 재가노인복지시설","재가노인복지시설","자치구","김윤희","1135000000","노원구","서울특별시 노원구 월계3동사슴1단지아파트 내 노원1종합사회복지관 1층","17","17","02-974-0755","139775"
"궁동데이케어센터","A2252","(노인) 재가노인복지시설","재가노인복지시설","자치구","심우철","1153000000","구로구","서울특별시 구로구 부일로17길 158-4(수궁동)","21","20","02-2616-0157","152883"
"그린리버노인복지센터","A2310","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤영자","1171000000","송파구","서울특별시 송파구 성내천로 1894층","80","80","02-406-2688","138818"
"서초성심노인복지센터(주야간보호)","A2360","(노인) 재가노인복지시설","재가노인복지시설","자치구","오명숙","1165000000","서초구","서울특별시 서초구 반포대로22길 61(서초동 1558-15)","24","24","02-582-6004","06646"
"마포노인복지센터부설마포재가노인지원센터","A2419","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은정","1144000000","마포구","서울특별시 마포구 만리재로 992,3층 (공덕동, 헤이븐 오피스텔)(공덕동, 헤이븐 오피스텔)","80","80","02-365-7775","04208"
"다정노인복지센터","A2610","(노인) 재가노인복지시설","재가노인복지시설","자치구","이수정","1120000000","성동구","서울특별시 성동구 용답중앙11길 3-1 (용답동)","150","150","02-2245-1020","04803"
"정토데이케이센터","A2678","(노인) 재가노인복지시설","재가노인복지시설","자치구","안민숙","1153000000","구로구","서울특별시 구로구 디지털로 31길 93(구로3동)","20","20","02-852-0522","08375"
"관악노인종합사회복지관병설관악데이케어센터","A2773","(노인) 재가노인복지시설","재가노인복지시설","자치구","이석영","1162000000","관악구","서울특별시 관악구 보라매로 35(봉천동)","","","02-888-9978","08708"
"광진데이케어센터","A2777","(노인) 재가노인복지시설","재가노인복지시설","자치구","최광식","1121500000","광진구","서울특별시 광진구 군자로 88(군자동)","24","18","02-466-6248","05004"
"시립서부데이케어센터","A2795","(노인) 재가노인복지시설","재가노인복지시설","자치구","이희근","1144000000","마포구","서울특별시 마포구 월드컵로36길 15-0(성산동)","50","50","02-350-0700","03937"
"가양5데이케어센터","A2870","(노인) 재가노인복지시설","재가노인복지시설","자치구","조인영","1150000000","강서구","서울특별시 강서구 양천로57길 36","31","30","02-3664-8805","07526"
"마포데이케어센터","A2905","(노인) 재가노인복지시설","재가노인복지시설","자치구","김윤태","1144000000","마포구","서울특별시 마포구 창전동(마포노인종합복지관 2층)","24","24","02-6360-0521","121881"
"기둥재가노인복지시설","A2958","(노인) 재가노인복지시설","재가노인복지시설","자치구","조성삼","1126000000","중랑구","서울특별시 중랑구 면목로33길 50","80","80","02-2207-3927","02241"
"시립노원노인종합복지관 병설노원데이케어센터","A3130","(노인) 재가노인복지시설","재가노인복지시설","자치구","박지은","1135000000","노원구","서울특별시 노원구 노원로16길 15912동 B1층 (하계동, 중계주공9단지아파트)","20","20","02-948-1532","01748"
"시립성북노인종합복지관 주간보호센터","A3223","(노인) 재가노인복지시설","재가노인복지시설","자치구","최유준","1129000000","성북구","서울특별시 성북구 종암로21길 21-4 (종암동)","21","16","02-929-4956","02804"
"구로노인종합복지관 병설 데이케어센터","A3269","(노인) 재가노인복지시설","재가노인복지시설","자치구","임성희","1153000000","구로구","서울특별시 구로구 새말로16길 7구로노인종합복지관 (구로동)","17","17","02-855-1811","08289"
"엘림노인복지원","A3318","(노인) 재가노인복지시설","재가노인복지시설","자치구","유광수","1171000000","송파구","서울특별시 송파구 거마로3길 14-32층","80","0","02-3012-8004","05744"
"서울예정재가노인복지센터","A3334","(노인) 재가노인복지시설","재가노인복지시설","자치구","설동욱","1126000000","중랑구","서울특별시 중랑구 용마산로 3485동 1504호","20","2","02-494-2944","02194"
"시립서대문노인종합복지관주간보호센터","A3382","(노인) 재가노인복지시설","재가노인복지시설","자치구","탁우상","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57(천연동)","21","21","02-363-9980","03745"
"중랑데이케어센터","A3397","(노인) 재가노인복지시설","재가노인복지시설","자치구","조희정","1126000000","중랑구","서울특별시 중랑구 면목2동(면목동)","20","20","02-432-9996","131820"
"성가정데이케어센터","A3430","(노인) 재가노인복지시설","재가노인복지시설","자치구","최은영","1174000000","강동구","서울특별시 강동구 양재대로156길 28(고덕동)","21","21","02-481-2217","05235"
"덕수노인복지센터","A3678","(노인) 재가노인복지시설","재가노인복지시설","자치구","신영삼","1129000000","성북구","서울특별시 성북구 성북로28길 14(성북동)","38","38","02-762-4262","136823"
"강남데이케어센터","A3755","(노인) 재가노인복지시설","재가노인복지시설","자치구","이동섭","1168000000","강남구","서울특별시 강남구 삼성로 628삼성로 628","17","14","02-549-8488","06085"
"동작데이케어센터","A3938","(노인) 재가노인복지시설","재가노인복지시설","자치구","김익환","1159000000","동작구","서울특별시 동작구 대방동대방동","17","17","02-824-2415","156808"
"목련데이케어센터","A3989","(노인) 재가노인복지시설","재가노인복지시설","자치구","신민선","1168000000","강남구","서울특별시 강남구 개포로 617-8(일원2동)","21","20","02-3412-2226","06336"
"도봉노인종합복지관주간보호센터","A4008","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은주","1132000000","도봉구","서울특별시 도봉구 도당로2길 12-13 ","24","24","02-990-6670","01394"
"용산데이케어센터","A4021","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성희","1117000000","용산구","서울특별시 용산구 독서당로11길 16 (한남동)","21","21","02-794-7787","04410"
"사)한국한아름복지회재가노인지원센터","A4036","(노인) 재가노인복지시설","재가노인복지시설","자치구","최순임","1168000000","강남구","서울특별시 강남구 개포로24길 29지하1층 (개포동)","80","80","02-573-7944","06308"
"구립영등포노인종합복지관병설데이케어센터","A4044","(노인) 재가노인복지시설","재가노인복지시설","자치구","박영숙","1156000000","영등포구","서울특별시 영등포구 도림로 482","35","35","02-2068-5325","07296"
"성동노인종합복지관병설성동데이케어센터","A4120","(노인) 재가노인복지시설","재가노인복지시설","자치구","안순봉","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)","17","17","02-2298-5177","04759"
"양천어르신종합복지관병설양천데이케어센터","A4153","(노인) 재가노인복지시설","재가노인복지시설","자치구","한승호","1147000000","양천구","서울특별시 양천구 신정7동(신정7동)","24","24","02-2649-7707","158077"
"시립은평노인종합복지관 은평데이케어센터","A4163","(노인) 재가노인복지시설","재가노인복지시설","자치구","김승자","1138000000","은평구","서울특별시 은평구 연서로 415(진관동)","35","33","02-385-1351","03310"
"노인통합지원센터","A4189","(노인) 재가노인복지시설","재가노인복지시설","자치구","양재석","1168000000","강남구","서울특별시 강남구 봉은사로24길 70","0","100","02-557-8091","06131"
"시립강동노인복지관데이케어센터","A4272","(노인) 재가노인복지시설","재가노인복지시설","자치구","성미선","1174000000","강동구","서울특별시 강동구 명일2동 48-1032-5","24","24","02-426-2048","05269"
"동대문노인종합복지관병설주간보호센터","A4284","(노인) 재가노인복지시설","재가노인복지시설","자치구","민경원","1123000000","동대문구","서울특별시 동대문구 제기로33길25","24","24","02-963-0565","02462"
"구립여의도원광데이케어센터","A4344","(노인) 재가노인복지시설","재가노인복지시설","자치구","양귀자","1156000000","영등포구","서울특별시 영등포구 여의대방로68길 15영창빌딩 3층","28","28","02-782-4438","07343"
"강서노인복지관데이케어센터","A4373","(노인) 재가노인복지시설","재가노인복지시설","자치구","임무영","1150000000","강서구","서울특별시 강서구 화곡로61길 85","18","18","02-3664-0322","07590"
"성모노인복지센터","A4583","(노인) 재가노인복지시설","재가노인복지시설","자치구","최옥란","1165000000","서초구","서울특별시 서초구 도구로 58-1(방배동 969-5)","0","9","02-3474-2284","137846"
"효노인복지센터","A4584","(노인) 재가노인복지시설","재가노인복지시설","자치구","곽현숙","1130500000","강북구","서울특별시 강북구 오현로 194덕수빌딩 2층 (번동)","0","0","02-946-1313","01224"
"강북노인복지센터","A4604","(노인) 재가노인복지시설","재가노인복지시설","자치구","박용권","1130500000","강북구","서울특별시 강북구 도봉로67길 48-6(미아동)","0","0","02-981-5004","01120"
"참사랑노인요양센터","A4783","(노인) 재가노인복지시설","재가노인복지시설","자치구","고정숙","1130500000","강북구","서울특별시 강북구 오현로 326층 (청우빌딩, 미아동)","15","15","02-981-1212","01233"
"아차산노인복지센터","A4801","(노인) 재가노인복지시설","재가노인복지시설","자치구","박정섭","1121500000","광진구","서울특별시 광진구 긴고랑로 164 (중곡동)","0","0","02-444-2280","04947"
"수실버간호센터","A4841","(노인) 재가노인복지시설","재가노인복지시설","자치구","이천우","1171000000","송파구","서울특별시 송파구 성내천로 2123,4층","9","6","02-448-8400","05752"
"노원실버데이케어센터","A4848","(노인) 재가노인복지시설","재가노인복지시설","자치구","이수남","1135000000","노원구","서울특별시 노원구 동일로 1097(공릉 1동)","24","23","02-978-7722","139801"
"시립강북노인종합복지관병설강북노인주간보호센터","A4874","(노인) 재가노인복지시설","재가노인복지시설","자치구","김민숙","1130500000","강북구","서울특별시 강북구 삼양로92길 40 (수유동)","24","24","02-992-6784","01082"
"구립서대문데이케어센터","A4930","(노인) 재가노인복지시설","재가노인복지시설","자치구","김희철","1141000000","서대문구","서울특별시 서대문구 홍지문2길 59-0(홍은동)","21","21","02-392-3080","03608"
"신목행복자리데이케어센터","A4963","(노인) 재가노인복지시설","재가노인복지시설","자치구","박지은","1147000000","양천구","서울특별시 양천구 신목로 10별관 1층","20","20","02-2643-6647","158765"
"구립역삼데이케어센터","A5002","(노인) 재가노인복지시설","재가노인복지시설","자치구","임상백","1168000000","강남구","서울특별시 강남구 도곡로27길 27(역삼동)","21","21","02-501-5684","135515"
"우리모두재가노인지원센터","A5003","(노인) 재가노인복지시설","재가노인복지시설","자치구","권양희","1111000000","종로구","서울특별시 종로구 지봉로12나길 1-0B02","100","110","02-744-8573","03108"
"열린재가노인지원서비스센터","A5012","(노인) 재가노인복지시설","재가노인복지시설","자치구","김창현","1121500000","광진구","서울특별시 광진구 용마산로 8금광빌딩 4층","100","1","02-446-0988","04953"
"명화데이케어센터","A5024","(노인) 재가노인복지시설","재가노인복지시설","자치구","정천모","1168000000","강남구","서울특별시 강남구 광평로51길 49-01층 명화데이케어센터","21","19","02-459-2696","06347"
"구립양천데이케어센터","A5052","(노인) 재가노인복지시설","재가노인복지시설","자치구","민경욱","1147000000","양천구","서울특별시 양천구 신월로 26-026(신정동)","21","21","02-2695-1626","08051"
"종로데이케어센터","A5081","(노인) 재가노인복지시설","재가노인복지시설","자치구","이재원","1111000000","종로구","서울특별시 종로구 지봉로13길 82 (창신동)","17","17","02-741-4904","03091"
"영등포재가노인복지센터","A5114","(노인) 재가노인복지시설","재가노인복지시설","자치구","이문노","1156000000","영등포구","서울특별시 영등포구 대림로 884층 (대림동)","0","4","02-833-2307","07438"
