가해운전자 연령층,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
합계,"196,836","15,894","12,362","13,620","16,472","18,065","16,481","17,115","16,496","17,216","18,508","17,578","17,029"
20세이하,"6,508",435,357,473,580,713,668,639,557,609,618,532,327
21~30세,"26,904","2,307","1,787","1,950","2,310","2,503","2,182","2,368","2,322","2,276","2,376","2,228","2,295"
31~40세,"28,402","2,336","2,001","1,969","2,409","2,525","2,341","2,463","2,330","2,268","2,589","2,489","2,682"
41~50세,"33,915","2,939","2,197","2,391","2,805","3,096","2,760","2,930","2,776","2,900","3,083","2,994","3,044"
51~60세,"44,581","3,683","2,849","3,191","3,772","3,989","3,733","3,747","3,677","3,872","4,156","4,001","3,911"
61~64세,"19,160","1,494","1,112","1,211","1,535","1,735","1,691","1,705","1,681","1,751","1,855","1,703","1,687"
65세이상,"34,652","2,469","1,887","2,252","2,850","3,245","2,890","3,048","2,920","3,260","3,607","3,388","2,836"
미분류,"2,714",231,172,183,211,259,216,215,233,280,224,243,247
출처) 도로교통공단.,,,,,,,,,,,,,
