연령,합계,월,발생건수
20세이하,6508,1,435
21~30세,26904,1,2307
31~40세,28402,1,2336
41~50세,33915,1,2939
51~60세,44581,1,3683
61~64세,19160,1,1494
65세이상,34652,1,2469
미분류,2714,1,231
20세이하,6508,2,357
21~30세,26904,2,1787
31~40세,28402,2,2001
41~50세,33915,2,2197
51~60세,44581,2,2849
61~64세,19160,2,1112
65세이상,34652,2,1887
미분류,2714,2,172
20세이하,6508,3,473
21~30세,26904,3,1950
31~40세,28402,3,1969
41~50세,33915,3,2391
51~60세,44581,3,3191
61~64세,19160,3,1211
65세이상,34652,3,2252
미분류,2714,3,183
20세이하,6508,4,580
21~30세,26904,4,2310
31~40세,28402,4,2409
41~50세,33915,4,2805
51~60세,44581,4,3772
61~64세,19160,4,1535
65세이상,34652,4,2850
미분류,2714,4,211
20세이하,6508,5,713
21~30세,26904,5,2503
31~40세,28402,5,2525
41~50세,33915,5,3096
51~60세,44581,5,3989
61~64세,19160,5,1735
65세이상,34652,5,3245
미분류,2714,5,259
20세이하,6508,6,668
21~30세,26904,6,2182
31~40세,28402,6,2341
41~50세,33915,6,2760
51~60세,44581,6,3733
61~64세,19160,6,1691
65세이상,34652,6,2890
미분류,2714,6,216
20세이하,6508,7,639
21~30세,26904,7,2368
31~40세,28402,7,2463
41~50세,33915,7,2930
51~60세,44581,7,3747
61~64세,19160,7,1705
65세이상,34652,7,3048
미분류,2714,7,215
20세이하,6508,8,557
21~30세,26904,8,2322
31~40세,28402,8,2330
41~50세,33915,8,2776
51~60세,44581,8,3677
61~64세,19160,8,1681
65세이상,34652,8,2920
미분류,2714,8,233
20세이하,6508,9,609
21~30세,26904,9,2276
31~40세,28402,9,2268
41~50세,33915,9,2900
51~60세,44581,9,3872
61~64세,19160,9,1751
65세이상,34652,9,3260
미분류,2714,9,280
20세이하,6508,10,618
21~30세,26904,10,2376
31~40세,28402,10,2589
41~50세,33915,10,3083
51~60세,44581,10,4156
61~64세,19160,10,1855
65세이상,34652,10,3607
미분류,2714,10,224
20세이하,6508,11,532
21~30세,26904,11,2228
31~40세,28402,11,2489
41~50세,33915,11,2994
51~60세,44581,11,4001
61~64세,19160,11,1703
65세이상,34652,11,3388
미분류,2714,11,243
20세이하,6508,12,327
21~30세,26904,12,2295
31~40세,28402,12,2682
41~50세,33915,12,3044
51~60세,44581,12,3911
61~64세,19160,12,1687
65세이상,34652,12,2836
미분류,2714,12,247
