사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010300100003,2022년 1월 3일 00시,월요일,경기도 성남시 분당구 삼평동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,27세,상해없음
2022010500100003,2022년 1월 5일 00시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,52세,경상
2022010500100386,2022년 1월 5일 20시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,여,38세,경상
2022010600100505,2022년 1월 6일 21시,목요일,경기도 성남시 분당구 백현동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,40세,경상
2022011100100368,2022년 1월 11일 17시,화요일,경기도 성남시 분당구 궁내동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,32세,상해없음,승용,남,64세,경상
2022011400100518,2022년 1월 14일 19시,금요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,38세,경상
2022011800100455,2022년 1월 18일 18시,화요일,경기도 성남시 분당구 궁내동,부상신고사고,0,0,0,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,71세,상해없음
2022011900100003,2022년 1월 19일 00시,수요일,경기도 성남시 분당구 궁내동,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,45세,경상
2022012200100269,2022년 1월 22일 15시,토요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,47세,상해없음
2022012700100329,2022년 1월 27일 16시,목요일,경기도 성남시 수정구 상적동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,56세,경상
2022013000100005,2022년 1월 30일 00시,일요일,경기도 성남시 분당구 구미동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,45세,상해없음,승용,남,59세,경상
2022020400100004,2022년 2월 4일 00시,금요일,경기도 성남시 분당구 궁내동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,44세,경상
2022020900100451,2022년 2월 9일 20시,수요일,경기도 성남시 분당구 백현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,24세,상해없음,승용,여,48세,경상
2022022100100331,2022년 2월 21일 16시,월요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,39세,상해없음,승용,여,54세,경상
2022022600100007,2022년 2월 26일 00시,토요일,경기도 성남시 분당구 금곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,54세,상해없음,승용,남,52세,경상
2022030100100052,2022년 3월 1일 09시,화요일,경기도 성남시 분당구 삼평동,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,41세,상해없음,승용,남,24세,중상
2022030400100137,2022년 3월 4일 12시,금요일,경기도 성남시 분당구 궁내동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,50세,상해없음,승용,남,45세,경상
2022030700100012,2022년 3월 7일 03시,월요일,경기도 성남시 분당구 분당동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,화물,남,62세,중상
2022030800100051,2022년 3월 8일 08시,화요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,56세,상해없음,승용,남,29세,경상
2022031400100388,2022년 3월 14일 20시,월요일,경기도 성남시 분당구 판교동,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,,,,
2022031500100278,2022년 3월 15일 16시,화요일,경기도 성남시 분당구 금곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,화물,남,53세,경상
2022032000100143,2022년 3월 20일 15시,일요일,경기도 성남시 분당구 금곡동,중상사고,0,2,2,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,35세,상해없음,승용,남,36세,경상
2022032300100029,2022년 3월 23일 04시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,46세,경상,화물,남,52세,경상
2022032800100070,2022년 3월 28일 08시,월요일,경기도 성남시 분당구 금곡동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,경상,승용,여,44세,경상
2022033000100093,2022년 3월 30일 09시,수요일,경기도 성남시 분당구 분당동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,여,38세,경상
2022033100100108,2022년 3월 31일 10시,목요일,경기도 성남시 분당구 궁내동,중상사고,0,1,0,2,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,화물,남,48세,부상신고
2022033100100388,2022년 3월 31일 19시,목요일,경기도 성남시 수정구 상적동,경상사고,0,0,3,3,차대차 - 기타,차로위반,건조,맑음,기타 - 기타,승용,남,30세,상해없음,승합,남,48세,경상
2022033100100438,2022년 3월 31일 21시,목요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,45세,기타불명,승용,남,38세,경상
2022040200100223,2022년 4월 2일 13시,토요일,경기도 성남시 분당구 백현동,경상사고,0,0,3,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,여,22세,상해없음,승합,남,49세,부상신고
2022040300100051,2022년 4월 3일 09시,일요일,경기도 성남시 분당구 궁내동,경상사고,0,0,5,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,61세,경상,승합,남,39세,상해없음
2022041200100010,2022년 4월 12일 00시,화요일,경기도 성남시 분당구 판교동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,37세,경상
2022041500100085,2022년 4월 15일 08시,금요일,경기도 성남시 분당구 정자동,중상사고,0,1,0,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,승용,남,32세,중상
2022041700100463,2022년 4월 17일 22시,일요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,43세,상해없음,승용,남,33세,경상
2022041900100148,2022년 4월 19일 09시,화요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,여,54세,경상
2022042400100429,2022년 4월 24일 22시,일요일,경기도 성남시 수정구 금토동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승합,남,43세,경상
2022042600100055,2022년 4월 26일 05시,화요일,경기도 성남시 분당구 삼평동,중상사고,0,1,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,61세,중상,화물,남,57세,상해없음
2022042600100056,2022년 4월 26일 05시,화요일,경기도 성남시 분당구 궁내동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41세,경상,화물,남,66세,상해없음
2022042600100488,2022년 4월 26일 20시,화요일,경기도 성남시 분당구 궁내동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51세,경상,승용,남,57세,상해없음
2022050500100183,2022년 5월 5일 12시,목요일,경기도 성남시 분당구 삼평동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,경상,승용,여,48세,상해없음
2022050700100015,2022년 5월 7일 01시,토요일,경기도 성남시 분당구 궁내동,중상사고,0,1,0,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,73세,상해없음,화물,남,55세,중상
2022050700100109,2022년 5월 7일 10시,토요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,31세,경상
2022051000100579,2022년 5월 10일 21시,화요일,경기도 성남시 분당구 판교동,경상사고,0,0,1,2,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,화물,남,70세,경상
2022051500100323,2022년 5월 15일 16시,일요일,경기도 성남시 분당구 삼평동,중상사고,0,1,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,승용,남,25세,경상
2022052400100085,2022년 5월 24일 08시,화요일,경기도 성남시 분당구 판교동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,40세,경상
