사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,,
2.02201E+15,2022년 1월 1일 12시,토요일,경기도 안성시 원곡면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,20세,상해없음,승용,남,27세,경상,,
2.02201E+15,2022년 1월 2일 02시,일요일,충청북도 청주시 서원구 남이면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,화물,남,56세,경상,,
2.02201E+15,2022년 1월 2일 09시,일요일,경기도 용인시 기흥구 고매동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,남,32세,경상,,
2.02201E+15,2022년 1월 2일 12시,일요일,경상남도 양산시 상북면,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,33세,경상,,
2.02201E+15,2022년 1월 2일 13시,일요일,경기도 용인시 수지구 동천동,경상사고,0,0,8,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,49세,경상,,
2.02201E+15,2022년 1월 2일 18시,일요일,경상남도 양산시 하북면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,21세,경상,,
2.02201E+15,2022년 1월 2일 20시,일요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,34세,경상,,
2.02201E+15,2022년 1월 2일 22시,일요일,충청북도 청주시 흥덕구 강내면,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,63세,경상,,
2.02201E+15,2022년 1월 2일 23시,일요일,충청남도 천안시 동남구 구성동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,41세,경상,,
2.02201E+15,2022년 1월 3일 00시,월요일,경기도 성남시 분당구 삼평동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,27세,상해없음,,
2.02201E+15,2022년 1월 5일 00시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,52세,경상,,
2.02201E+15,2022년 1월 5일 08시,수요일,경기도 용인시 기흥구 상갈동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,66세,경상,,
2.02201E+15,2022년 1월 5일 20시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,여,38세,경상,,
2.02201E+15,2022년 1월 6일 00시,목요일,서울특별시 서초구 원지동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,24세,상해없음,승용,남,23세,경상,,1
2.02201E+15,2022년 1월 6일 07시,목요일,서울특별시 서초구 원지동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승합,남,58세,상해없음,화물,남,55세,경상,,1
2.02201E+15,2022년 1월 6일 08시,목요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,특수,남,53세,경상,,
2.02201E+15,2022년 1월 6일 21시,목요일,경기도 성남시 분당구 백현동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,40세,경상,,
2.02201E+15,2022년 1월 7일 16시,금요일,대구광역시 북구 조야동,경상사고,0,0,4,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,남,33세,경상,,
2.02201E+15,2022년 1월 7일 20시,금요일,경기도 용인시 처인구 남사읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,46세,경상,,
2.02201E+15,2022년 1월 8일 00시,토요일,경기도 안성시 공도읍,중상사고,0,1,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,43세,상해없음,승용,남,53세,상해없음,,
2.02201E+15,2022년 1월 9일 12시,일요일,경상남도 양산시 상북면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,승용,여,57세,경상,,
2.02201E+15,2022년 1월 9일 19시,일요일,경상북도 경주시 건천읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,여,34세,중상,,
2.02201E+15,2022년 1월 9일 23시,일요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,39세,상해없음,승용,남,60세,상해없음,,
2.02201E+15,2022년 1월 10일 09시,월요일,서울특별시 서초구 원지동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,43세,경상,화물,남,56세,경상,,1
2.02201E+15,2022년 1월 10일 19시,월요일,충청북도 옥천군 군북면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,53세,상해없음,승용,남,32세,경상,,
