사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010100100007,2017년 1월 1일 00시,일요일,서울특별시 양천구 신정동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,78세,경상
2017010100100024,2017년 1월 1일 01시,일요일,서울특별시 중랑구 상봉동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,여,76세,중상
2017010100100265,2017년 1월 1일 17시,일요일,서울특별시 노원구 상계동,중상사고,0,1,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,이륜,남,24세,경상
2017010200100048,2017년 1월 2일 04시,월요일,서울특별시 은평구 갈현동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,70세,상해없음,보행자,여,85세,사망
2017010200100055,2017년 1월 2일 05시,월요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 기타,기타,젖음/습기,비,기타 - 기타,자전거,남,27세,상해없음,보행자,여,74세,경상
2017010200100272,2017년 1월 2일 15시,월요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,42세,상해없음,보행자,여,73세,경상
2017010200100297,2017년 1월 2일 16시,월요일,서울특별시 성북구 정릉동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,화물,남,55세,상해없음,보행자,여,74세,중상
2017010200100440,2017년 1월 2일 20시,월요일,서울특별시 동작구 대방동,중상사고,0,1,2,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,69세,경상
2017010300100072,2017년 1월 3일 06시,화요일,서울특별시 동작구 상도동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,보행자,남,66세,중상
2017010300100299,2017년 1월 3일 14시,화요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,여,71세,중상
2017010300100301,2017년 1월 3일 14시,화요일,서울특별시 중랑구 면목동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,보행자,여,81세,중상
2017010300100406,2017년 1월 3일 18시,화요일,서울특별시 관악구 봉천동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,46세,상해없음,보행자,남,75세,사망
2017010400100094,2017년 1월 4일 07시,수요일,서울특별시 동작구 사당동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,화물,남,54세,상해없음,보행자,남,72세,경상
2017010400100140,2017년 1월 4일 09시,수요일,서울특별시 마포구 공덕동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,화물,남,43세,상해없음,보행자,여,66세,경상
2017010400100327,2017년 1월 4일 16시,수요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,남,66세,중상
2017010400100392,2017년 1월 4일 18시,수요일,서울특별시 은평구 신사동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,원동기,남,47세,상해없음,보행자,여,78세,중상
2017010400100507,2017년 1월 4일 21시,수요일,서울특별시 강동구 성내동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,여,69세,경상
2017010400100509,2017년 1월 4일 21시,수요일,서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,보행자,여,64세,중상
2017010500100082,2017년 1월 5일 06시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,여,75세,중상
2017010500100165,2017년 1월 5일 10시,목요일,서울특별시 양천구 목동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,남,78세,중상
2017010500100190,2017년 1월 5일 11시,목요일,서울특별시 금천구 시흥동,부상신고사고,0,0,0,1,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,보행자,남,68세,부상신고
2017010500100230,2017년 1월 5일 13시,목요일,서울특별시 송파구 잠실동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,여,71세,중상
2017010500100258,2017년 1월 5일 14시,목요일,서울특별시 강동구 상일동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,보행자,여,71세,중상
2017010500100359,2017년 1월 5일 18시,목요일,서울특별시 도봉구 창동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,여,78세,중상
2017010500100443,2017년 1월 5일 20시,목요일,서울특별시 양천구 목동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,56세,상해없음,보행자,남,69세,중상
2017010600100018,2017년 1월 6일 00시,금요일,서울특별시 강동구 천호동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,미분류 - 미분류,이륜,기타불명,미분류,기타불명,보행자,여,80세,경상
2017010600100032,2017년 1월 6일 01시,금요일,서울특별시 금천구 독산동,중상사고,0,1,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,67세,중상
2017010600100076,2017년 1월 6일 06시,금요일,서울특별시 성북구 하월곡동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,50세,상해없음,보행자,남,76세,사망
2017010600100173,2017년 1월 6일 10시,금요일,서울특별시 강서구 방화동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,여,77세,중상
2017010700100239,2017년 1월 7일 11시,토요일,서울특별시 영등포구 영등포동2가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,보행자,남,73세,경상
2017010700100263,2017년 1월 7일 12시,토요일,서울특별시 금천구 시흥동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,34세,상해없음,보행자,남,70세,중상
2017010700100379,2017년 1월 7일 17시,토요일,서울특별시 강동구 성내동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,보행자,여,75세,중상
2017010700100480,2017년 1월 7일 20시,토요일,서울특별시 관악구 봉천동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,보행자,여,66세,중상
2017010800100303,2017년 1월 8일 18시,일요일,서울특별시 강북구 미아동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,52세,상해없음,보행자,여,79세,중상
2017010800100334,2017년 1월 8일 19시,일요일,서울특별시 강동구 명일동,중상사고,0,2,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,보행자,여,61세,중상
2017010800100337,2017년 1월 8일 19시,일요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,19세,상해없음,보행자,여,67세,경상
2017010800100367,2017년 1월 8일 20시,일요일,서울특별시 동대문구 청량리동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,보행자,남,69세,중상
2017010800100392,2017년 1월 8일 21시,일요일,서울특별시 성동구 행당동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,36세,상해없음,보행자,남,67세,중상
2017010800100417,2017년 1월 8일 22시,일요일,서울특별시 동작구 노량진동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,39세,상해없음,보행자,여,83세,중상
2017010900100159,2017년 1월 9일 11시,월요일,서울특별시 구로구 구로동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,64세,상해없음,보행자,여,77세,중상
2017010900100160,2017년 1월 9일 11시,월요일,서울특별시 양천구 목동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,보행자,여,77세,중상
2017010900100187,2017년 1월 9일 12시,월요일,서울특별시 서초구 서초동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,여,54세,상해없음,보행자,남,68세,부상신고
