사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2017010200100403,2017년 1월 2일 19시,월요일,서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,52세,상해없음,보행자,남,12세,경상
2017010400100442,2017년 1월 4일 19시,수요일,서울특별시 관악구 신림동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,보행자,남,8세,경상
2017010500100479,2017년 1월 5일 21시,목요일,서울특별시 성북구 장위동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,49세,상해없음,보행자,남,4세,경상
2017010700100289,2017년 1월 7일 13시,토요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,기타,맑음,교차로 - 교차로부근,화물,남,59세,상해없음,보행자,남,1세,경상
2017010700100344,2017년 1월 7일 15시,토요일,서울특별시 송파구 풍납동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,남,4세,중상
2017010700100479,2017년 1월 7일 20시,토요일,서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,28세,상해없음,보행자,여,6세,경상
2017010800100280,2017년 1월 8일 17시,일요일,서울특별시 강북구 번동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,35세,기타불명,보행자,여,11세,경상
2017011100100195,2017년 1월 11일 11시,수요일,서울특별시 동대문구 전농동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,35세,기타불명,보행자,남,8세,부상신고
2017011100100341,2017년 1월 11일 16시,수요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,보행자,남,미분류,경상
2017011100100372,2017년 1월 11일 17시,수요일,서울특별시 중랑구 묵동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,51세,상해없음,보행자,남,8세,중상
