국가,교통사고 사고건수(건),교통사고사망자(명),자동차1만대당 사망자,인구10만명당 사망자
칠레,"39,246","1,973",3.5,10.4
멕시코,"74,479","15,574",3.1,12.5
헝가리,"16,627",602,1.3,6.2
대한민국,"229,600","3,349",1.2,6.5
미국,-,"36,096",1.2,10.8
리투아니아,"3,289",184,1.1,6.5
이스라엘,"12,670",355,1,4.1
폴란드,"30,288","2,909",0.9,7.6
뉴질랜드,"11,737",352,0.8,7.1
벨기에,"37,699",646,0.8,5.6
체코,"20,806",618,0.8,5.9
그리스,"10,745",696,0.7,6.6
슬로베니아,"6,025",102,0.7,4.8
캐나다,-,"1,762",0.7,4.7
프랑스,"56,016","3,244",0.7,5
네덜란드,-,661,0.6,3.8
덴마크,"2,808",199,0.6,3.4
오스트리아,"35,736",416,0.6,4.7
이탈리아,"172,183","3,173",0.6,5.3
호주,-,"1,195",0.6,4.7
독일,"300,143","3,046",0.5,3.7
스페인,-,"1,755",0.5,3.7
아일랜드,"5,862",140,0.5,2.9
룩셈부르크,-,22,0.4,3.5
일본,"381,237","3,920",0.4,3.1
핀란드,"3,984",211,0.4,3.8
노르웨이,"3,579",108,0.3,2
스웨덴,"13,684",221,0.3,2.2
스위스,"17,761",187,0.3,2.2
아이슬란드,770,6,0.2,1.7
