지역구,어린이집명,주소
서대문구,사랑별어린이집,서울특별시 서대문구 수색로2길 19-7 DMC금호리첸시아아파트 단지 내
중구,현대캐피탈 도담어린이집,서울특별시 중구 세종대로 14 그랜드센트럴 2층 현대캐피탈 도담어린이집
광진구,광진구육아종합지원센터(꾸미팡팡공동육아방 3호점),서울특별시 광진구 동일로56가길 31 3층
영등포구,삼환어린이집,서울특별시 영등포구 영중로 145 영등포삼환아파트 104동 101호
구로구,별숲어린이집,서울특별시 구로구 경인로43길 49 고척아이파크MD 내 관리실
구로구,달숲어린이집,서울특별시 구로구 중앙로5길 59 고척아이파크 RD 내 관리동
마포구,삼성아이마루어린이집,서울특별시 마포구 백범로25길 63 염리삼성래미안 관리동
중랑구,중랑실내놀이터,서울특별시 중랑구 용마산로 209
영등포구,LG 에너지솔루션 지정 어린이집,서울특별시 영등포구 여의대로 108 파크원빌딩 3층
강남구,케이티앤지 어린이집,서울특별시 강남구 영동대로 416 케이티앤지타워 1층
양천구,나연어린이집,서울특별시 양천구 목동서로 280 804동 104호
송파구,돌마리어린이집,서울특별시 송파구 백제고분로40길 13-16 돌마리어린이집 2층 (석촌동)
관악구,구립뉴포레어린이집,서울특별시 관악구 조원로 25 1층 상가동
구로구,디지털꿈터어린이집,서울특별시 구로구 디지털로27길 36 1층 108호
용산구,원효루미니어린이집,서울특별시 용산구 원효로97길 15 1층
동작구,구립신대방누리어린이집,서울특별시 동작구 신대방1다길 19 1층
영등포구,신길더샵해늘어린이집,서울특별시 영등포구 가마산로79길 37 관리동
은평구,구립 북한산힐스솔숲어린이집,서울특별시 은평구 불광로2길 33 북한산힐스테이트1차아파트 단지 내
양천구,토리좋은세상어린이집,서울특별시 양천구 신목로5길 5 개진빌딩 1층
강서구,청정원 마곡 어린이집,서울특별시 강서구 초원로16길 12
양천구,구립 다온어린이집,서울특별시 양천구 중앙로29길 11 호반써밋목동아파트
마포구,모아어린이집,서울특별시 마포구 월드컵북로30길 9-22 110동 1층 2호
은평구,구립 마루어린이집,서울특별시 은평구 백련산로4길 17-7
마포구,현대홈타운어린이집,서울특별시 마포구 새창로8길 72 현대홈타운 204-101
중랑구,행복어린이집,서울특별시 중랑구 양원역로 92 (망우동)
도봉구,도봉산탐험대 숲어린이집,서울특별시 도봉구 시루봉로 107 29동 105호
양천구,목동깨비장난감도서관공동육아방,서울특별시 양천구 목동중앙북로2길 8 3층
동작구,포레힐즈어린이집,서울특별시 동작구 동작대로45길 10 이수스위첸포레힐즈아파트 단지 내
중랑구,망우자람공동육아방,서울특별시 중랑구 용마산로 461
강서구,등촌제일어린이집,서울특별시 강서구 공항대로53가길 50 1층
은평구,구립 DMC센트럴자이나무어린이집,서울특별시 은평구 수색로 200 DMC센트럴자이3블럭 단지 내
은평구,구립 DMC센트럴자이새봄어린이집,서울특별시 은평구 수색로 200 DMC센트럴자이 2블럭 단지 내
성북구,리슈빌어린이집,서울특별시 성북구 보문로26길 17
은평구,구립 가람별어린이집,"서울특별시 은평구 진관3로 77 921동(진관동, 은평뉴타운 구파발)"
서대문구,새빛어린이집,서울특별시 서대문구 세무서8길 30 새빛어린이집
강서구,홈앤쇼핑 어린이집,서울특별시 강서구 공항대로 150 홈앤쇼핑 3층
성북구,101경비단 어린이집,서울특별시 성북구 정릉로10라길 18-5
마포구,IBK참!좋은(마포)어린이집,서울특별시 마포구 큰우물로 64 1층
서대문구,현대아이사랑어린이집,서울특별시 서대문구 통일로39가길 57 107동 108호
중랑구,금호어울림어린이집,서울특별시 중랑구 양원역로10길 75 금호어울림 관리동 (망우동)
중랑구,엘스타시온어린이집,서울특별시 중랑구 양원역로10길 47 엘스타시온 관리동 (망우본동)
