학교명,주소
서울숭신초등학교,서울특별시 성동구 마장로 161
한양초등학교,서울특별시 성동구 살곶이길 208
세종초등학교,서울특별시 광진구 군자로 114
성동초등학교,서울특별시 광진구 자양로4길 63
서울행현초등학교,서울특별시 성동구 행당로 95
서울행당초등학교,서울특별시 성동구 고산자로8길 6
서울중마초등학교,서울특별시 광진구 동일로72길 43
서울중광초등학교,서울특별시 광진구 긴고랑로13길 59
서울장안초등학교,서울특별시 광진구 군자로 74
서울자양초등학교,서울특별시 광진구 아차산로44길 26
서울응봉초등학교,서울특별시 성동구 독서당로62길 28
서울용마초등학교,서울특별시 광진구 천호대로113길 10
서울용답초등학교,서울특별시 성동구 용답25길 1
서울용곡초등학교,서울특별시 광진구 용마산로22길 82
서울옥정초등학교,서울특별시 성동구 한림말길 43
서울옥수초등학교,서울특별시 성동구 금호로1길 25
서울양진초등학교,서울특별시 광진구 워커힐로 32
서울양남초등학교,서울특별시 광진구 뚝섬로64길 71
서울신자초등학교,서울특별시 광진구 뚝섬로46길 64
서울신양초등학교,서울특별시 광진구 능동로 42
서울송원초등학교,서울특별시 성동구 동일로43길 9
서울성자초등학교,서울특별시 광진구 뚝섬로56길 7
서울성수초등학교,서울특별시 성동구 아차산로17길 21
서울사근초등학교,서울특별시 성동구 사근동11길 16
서울무학초등학교,서울특별시 성동구 무학봉15길 21
서울마장초등학교,서울특별시 성동구 마장로35나길 31
서울동호초등학교,서울특별시 성동구 매봉길 49-35
서울동자초등학교,서울특별시 광진구 뚝섬로 561
서울동의초등학교,서울특별시 광진구 영화사로 111
서울동명초등학교,서울특별시 성동구 마장로29길 29
서울금호초등학교,서울특별시 성동구 무수막길 69
서울금옥초등학교,서울특별시 성동구 독서당로 251
서울금북초등학교,서울특별시 성동구 행당로1길 13
서울구의초등학교,서울특별시 광진구 광나루로30길 49
서울구남초등학교,서울특별시 광진구 구의강변로 69
서울광진초등학교,서울특별시 광진구 자양로40길 41
서울광장초등학교,서울특별시 광진구 광장로1길 27
서울광남초등학교,서울특별시 광진구 아차산로70길 35
서울경일초등학교,서울특별시 성동구 뚝섬로 332
서울경수초등학교,서울특별시 성동구 뚝섬로13길 22
서울경동초등학교,서울특별시 성동구 성수일로 34
경복초등학교,서울특별시 광진구 천호대로130길 58
중앙대학교사범대학부속초등학교,서울특별시 동작구 서달로 135
서울흑석초등학교,서울특별시 동작구 현충로 87
서울행림초등학교,서울특별시 동작구 솔밭로 47
서울청룡초등학교,서울특별시 관악구 관악로5길 61
서울조원초등학교,서울특별시 관악구 조원로 67
서울인헌초등학교,서울특별시 관악구 낙성대로 23
서울은천초등학교,서울특별시 관악구 은천로 69
서울은로초등학교,서울특별시 동작구 서달로 115
서울원신초등학교,서울특별시 관악구 광신길 177
서울원당초등학교,서울특별시 관악구 봉천로 505
서울영화초등학교,서울특별시 동작구 등용로8길 3
서울영본초등학교,서울특별시 동작구 만양로12가길 69
서울신우초등학교,서울특별시 관악구 호암로 498
서울신성초등학교,서울특별시 관악구 신림로 114
