지역구,인구수,어린이인구수,어린이사고수,차량등록대수,어린이공원개수,어린이집수,유치원수,초등학교수,학교수,어린이보호구역개수,어린이사고수
종로구 ,145714,145714,28,50052,24,116,17,13,146,48,28
중구 ,121926,121926,19,51736,16,94,14,12,120,43,19
용산구 ,218691,218691,36,76521,23,179,17,15,211,37,36
성동구 ,295428,295428,38,106263,32,275,31,21,327,52,38
광진구 ,346032,346032,72,99299,35,294,36,21,351,74,72
동대문구 ,339364,339364,60,97910,42,308,33,21,362,75,60
중랑구 ,391196,391196,95,112723,44,372,33,23,428,42,95
성북구 ,434848,434848,82,119321,36,462,52,29,543,102,82
강북구 ,308385,308385,59,76364,44,243,22,14,279,41,59
도봉구 ,329039,329039,54,96435,39,396,29,23,448,64,54
노원구 ,527045,527045,92,152071,92,675,69,42,786,121,92
은평구 ,471936,471936,85,129820,45,520,45,30,595,74,85
서대문구 ,302628,302628,44,87104,43,274,23,19,316,40,44
마포구 ,366365,366365,57,117907,54,373,26,22,421,52,57
양천구 ,452784,452784,114,149673,74,478,47,30,555,96,114
강서구 ,584804,584804,99,204675,122,604,59,35,698,88,99
구로구 ,401965,401965,94,144465,26,489,35,27,551,61,94
금천구 ,228716,228716,43,87581,41,266,19,18,303,46,43
영등포구 ,360215,360215,88,142010,29,423,40,23,486,66,88
동작구 ,390198,390198,66,105472,32,338,37,21,396,66,66
관악구 ,492126,492126,58,120050,71,398,36,22,456,72,58
서초구 ,422317,422317,80,181182,87,330,29,24,383,92,80
강남구 ,532911,532911,115,235415,62,359,40,33,432,116,115
송파구 ,666686,666686,140,240559,87,670,54,40,764,88,140
강동구 ,429637,429637,87,139549,62,430,34,27,491,85,87
