행정구역(코드),지역구,어린이인구,사고수
서울특별시 서울특별시 종로구 (1111000000),종로구,145714,28
서울특별시 서울특별시 중구 (1114000000),중구,121926,19
서울특별시 서울특별시 용산구 (1117000000),용산구,218691,36
서울특별시 서울특별시 성동구 (1120000000),성동구,295428,38
서울특별시 서울특별시 광진구 (1121500000),광진구,346032,72
서울특별시 서울특별시 동대문구 (1123000000),동대문구,339364,60
서울특별시 서울특별시 중랑구 (1126000000),중랑구,391196,95
서울특별시 서울특별시 성북구 (1129000000),성북구,434848,82
서울특별시 서울특별시 강북구 (1130500000),강북구,308385,59
서울특별시 서울특별시 도봉구 (1132000000),도봉구,329039,54
서울특별시 서울특별시 노원구 (1135000000),노원구,527045,92
서울특별시 서울특별시 은평구 (1138000000),은평구,471936,85
서울특별시 서울특별시 서대문구 (1141000000),서대문구,302628,44
서울특별시 서울특별시 마포구 (1144000000),마포구,366365,57
서울특별시 서울특별시 양천구 (1147000000),양천구,452784,114
서울특별시 서울특별시 강서구 (1150000000),강서구,584804,99
서울특별시 서울특별시 구로구 (1153000000),구로구,401965,94
서울특별시 서울특별시 금천구 (1154500000),금천구,228716,43
서울특별시 서울특별시 영등포구 (1156000000),영등포구,360215,88
서울특별시 서울특별시 동작구 (1159000000),동작구,390198,66
서울특별시 서울특별시 관악구 (1162000000),관악구,492126,58
서울특별시 서울특별시 서초구 (1165000000),서초구,422317,80
서울특별시 서울특별시 강남구 (1168000000),강남구,532911,115
서울특별시 서울특별시 송파구 (1171000000),송파구,666686,140
서울특별시 서울특별시 강동구 (1174000000),강동구,429637,87
