지역구,어린이사고수,DecisionTree,Gradient Boosting,Random Forest,Linear Regression
종로구 ,28,19,23.6,30.03,13.2
중구 ,19,19,19.02,26.18,13.26
용산구 ,36,36,36.01,36.64,37.62
성동구 ,38,38,38.03,45.33,61.31
광진구 ,72,72,71.98,68.09,63.77
동대문구 ,60,60,60.02,61.18,55.21
중랑구 ,95,95,94.97,85.52,65.88
성북구 ,82,82,82.03,84.87,87.61
강북구 ,59,44,45.1,41.79,48.11
도봉구 ,54,54,54,64.13,61.59
노원구 ,92,92,92,94.32,93.47
은평구 ,85,114,109.78,101.11,103.61
서대문구 ,44,44,44,43.34,47.91
마포구 ,57,57,56.99,62.36,69.71
양천구 ,114,114,113.99,106.43,100.14
강서구 ,99,99,98.98,98.56,104.08
구로구 ,94,88,89.31,87.26,104.78
금천구 ,43,43,42.98,41.71,41.3
영등포구 ,88,88,88,83.03,83.96
동작구 ,66,66,65.97,66.81,73.11
관악구 ,58,58,58.04,66.75,63.78
서초구 ,80,80,80.02,80.92,78.5
강남구 ,115,115,115,109.37,116.18
송파구 ,140,92,95.65,98.38,144.33
강동구 ,87,87,86.99,86.38,80.61
