지역구,면적,CCTV,면적당cctv
중구,9.96,2584,259.437751
성동구,16.82,4175,248.216409
구로구,20.12,4831,240.1093439
중랑구,18.50,4193,226.6486486
양천구,17.41,3890,223.4348076
금천구,13.02,2885,221.5821813
광진구,17.06,3592,210.5509965
성북구,24.58,4957,201.6680228
서대문구,17.63,3538,200.680658
동대문구,14.22,2759,194.0225035
관악구,29.57,5642,190.801488
영등포구,24.55,4660,189.8167006
강남구,39.50,7243,183.3670886
동작구,16.36,2690,164.4254279
은평구,29.71,4653,156.6139347
강북구,23.60,3321,140.720339
용산구,21.87,2970,135.8024691
강동구,24.59,3192,129.8088654
도봉구,20.65,2385,115.496368
마포구,23.85,2638,110.6079665
서초구,46.97,4995,106.3444752
송파구,33.88,3253,96.01534829
종로구,23.91,1966,82.22501046
강서구,41.45,3353,80.89264174
노원구,35.44,2626,74.09706546
