영업상태코드,주소
1,서울특별시 관악구 신림동 530-31 상진
1,서울특별시 은평구 구산동 321-98 지하1층
1,서울특별시 구로구 구로동 153-3
1,서울특별시 중랑구 묵동 245-1
1,서울특별시 서대문구 홍제동 173-2
1,서울특별시 용산구 보광동 260-16 (지층)
1,서울특별시 강남구 논현동 112-3
1,서울특별시 강북구 번동 448-6
1,서울특별시 강남구 역삼동 678-2
1,서울특별시 은평구 갈현동 392-3 (지하1층)
1,서울특별시 송파구 가락동 17-4
1,서울특별시 강북구 수유동 2-40
1,서울특별시 금천구 시흥동 837-37 지하1층
1,서울특별시 관악구 남현동 1061-3 외1필지 가호
1,서울특별시 강서구 화곡동 905-9 (지상 3 층)
1,서울특별시 도봉구 방학동 680-37
1,서울특별시 은평구 갈현동 424-8
1,서울특별시 송파구 가락동 48-12
1,서울특별시 송파구 방이동 59-8 (지하1층)
1,서울특별시 양천구 목동 405-280 지하 1층
1,서울특별시 금천구 시흥동 891-6
1,서울특별시 양천구 목동 404-115 지하 1층
1,서울특별시 서초구 서초동 1366-7 지하 1층 일부
1,서울특별시 종로구 낙원동 232 지상2층
1,서울특별시 강서구 화곡동 372-95 (지하 1층)
1,서울특별시 중랑구 묵동 163-1 2층
1,서울특별시 강남구 역삼동 667-0
1,서울특별시 서초구 잠원동 8-24
1,서울특별시 서초구 방배동 444-16
1,서울특별시 광진구 구의동 218-16
1,서울특별시 은평구 갈현동 400-1 (지층)
1,서울특별시 도봉구 창동 655-15
1,서울특별시 영등포구 영등포동3가 26
1,서울특별시 강남구 논현동 164-16
1,서울특별시 용산구 원효로3가 37-2 지하1층
1,서울특별시 양천구 신정동 890-16 지하 1층
1,서울특별시 강서구 화곡동 927-1 (지상 1층) 111-A호
1,서울특별시 강남구 논현동 206-11
1,서울특별시 성북구 하월곡동 17-5
1,서울특별시 관악구 신림동 499-50
1,서울특별시 송파구 석촌동 178-0
1,서울특별시 송파구 방이동 37-7
1,서울특별시 은평구 녹번동 117-15 (지층)
1,서울특별시 서초구 서초동 1363-3 지하1층
1,서울특별시 종로구 돈의동 37 지하1층
1,서울특별시 강동구 암사동 488-16
1,서울특별시 양천구 목동 603-1 지하 1층
1,서울특별시 용산구 청파동3가 21-15 (지층)
1,서울특별시 관악구 신림동 1431-41
1,서울특별시 서초구 서초동 1577-2
1,서울특별시 서초구 서초동 1596-6 지하
1,서울특별시 강남구 삼성동 154-15
1,서울특별시 종로구 낙원동 225 한국장기협회 2층
1,서울특별시 동대문구 전농동 597-2 지하1층
1,서울특별시 노원구 상계동 725-3 원흥상가지하1층
1,서울특별시 강남구 신사동 514-3
1,서울특별시 중랑구 묵동 181-68
1,서울특별시 관악구 신림동 527-3
1,서울특별시 구로구 고척동 273-11
1,서울특별시 은평구 갈현동 456-4 지하1층
1,서울특별시 강남구 논현동 242-21 지하1층
1,서울특별시 강서구 화곡동 914-18 (지하 1층)
1,서울특별시 강북구 수유동 191-58
1,서울특별시 송파구 가락동 98-6 캘리포니아관광호텔
1,서울특별시 중랑구 묵동 169-21
1,서울특별시 광진구 구의동 243-19
1,서울특별시 중구 신당동 120-16
1,서울특별시 동작구 상도1동 755-0
1,서울특별시 강북구 수유동 182-1
1,서울특별시 중구 북창동 20-2
1,서울특별시 은평구 대조동 15-120 지하1층
1,서울특별시 강북구 미아동 35-23 지상2층
1,서울특별시 영등포구 여의도동 44-21 중앙빌딩
1,서울특별시 영등포구 대림동 861-21 지하1층
1,서울특별시 종로구 낙원동 136 보광빌딩
1,서울특별시 광진구 광장동 322-7
1,서울특별시 광진구 광장동 322-3
1,서울특별시 영등포구 영등포동3가 8-1 성남빌딩
1,서울특별시 마포구 동교동 154-20
1,서울특별시 강남구 신사동 612-1
1,서울특별시 성북구 석관동 304-26
1,서울특별시 구로구 구로동 500-17
1,서울특별시 송파구 방이동 69-4 유인빌딩
1,서울특별시 송파구 송파동 18-4 지하1층
1,서울특별시 강서구 화곡동 894-18 성지빌딩 지하1층
