영업상태코드,주소
1,"서울특별시 강남구 역삼동 678-24 늘봄빌딩 2,3층"
1,서울특별시 송파구 가락동 98-7
1,서울특별시 영등포구 신길동 449-22 신성빌딩
1,서울특별시 서초구 잠원동 12-21
1,서울특별시 동대문구 장안동 382-23
1,서울특별시 종로구 수송동 58 두산위브 (지하1층 B137~B140호)
1,서울특별시 종로구 돈의동 123-0
1,서울특별시 영등포구 영등포동3가 23-1 2층
1,서울특별시 강남구 청담동 98-6
1,서울특별시 강북구 수유동 86-1
1,서울특별시 관악구 남현동 1061-22
1,서울특별시 관악구 신림동 1431-1
1,서울특별시 영등포구 여의도동 44-35 제일빌딩
1,서울특별시 송파구 가락동 79-4
1,서울특별시 동대문구 장안동 366-6
1,서울특별시 구로구 오류동 38-1 대서프라자 202호 202호
1,서울특별시 종로구 숭인동 313-8 지하1층
1,서울특별시 관악구 봉천동 857-5 외 1필지 지하1층
1,서울특별시 양천구 목동 923 세신비젼프라자 3층 306~309호
1,서울특별시 영등포구 영등포동3가 23-8
1,서울특별시 은평구 대조동 198-5 지층
1,서울특별시 강서구 화곡동 1117-7 (지하 1층 중 2층)
1,서울특별시 종로구 종로5가 38-1 지상1층
1,서울특별시 금천구 독산동 951-4
1,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티
1,서울특별시 강남구 역삼동 701-1 지하2층
1,서울특별시 중랑구 상봉동 89-17
1,서울특별시 관악구 신림동 1431-16
1,서울특별시 관악구 신림동 1422-20
1,서울특별시 노원구 상계동 706-1 2층
1,서울특별시 광진구 화양동 23-40
1,서울특별시 강남구 삼성동 44-10 지하1층
1,서울특별시 송파구 잠실동 183-9
1,서울특별시 강남구 역삼동 831-42 .43
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 702호
1,서울특별시 관악구 신림동 1639-23
1,서울특별시 중구 광희동1가 130 지하1층
1,서울특별시 서초구 서초동 1306-8
1,"서울특별시 송파구 가락동 79-7 (지하1층12,13호)"
1,서울특별시 서초구 서초동 1589-4 지하1층
1,서울특별시 강서구 화곡동 903-10 (지하 1층)
1,서울특별시 강남구 역삼동 650-1
1,서울특별시 강동구 길동 458-6
1,서울특별시 도봉구 창동 12-1
1,서울특별시 구로구 오류동 55-50
1,서울특별시 강서구 화곡동 902-10 2층
1,서울특별시 관악구 신림동 1433-51
1,서울특별시 강동구 길동 412-12 부에노빌딩
1,서울특별시 은평구 대조동 15-80
1,서울특별시 구로구 오류동 6-304
1,서울특별시 중구 초동 53-22 (지상2층)
1,서울특별시 관악구 신림동 1432-76
1,서울특별시 강남구 삼성동 142-29
1,서울특별시 관악구 신림동 1640-30
1,서울특별시 도봉구 창동 3-3 3층 303호
1,서울특별시 강북구 수유동 7-4
1,서울특별시 강남구 역삼동 735-11 지하1층
1,서울특별시 강남구 역삼동 735-11 지하1층
1,서울특별시 강남구 신사동 561-30
1,서울특별시 은평구 불광동 281-172
1,서울특별시 강동구 길동 459
1,서울특별시 강서구 화곡동 935-1
1,서울특별시 은평구 응암동 96-14 (지층)
1,서울특별시 강서구 화곡동 901-15 시온빌딩 401호
1,서울특별시 강남구 역삼동 719 신웅타워
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 7층) 703-1호
1,서울특별시 노원구 상계동 710 문화빌딩 지하1층
1,서울특별시 서초구 서초동 1303-36 트라이랜드빌딩 7층
1,서울특별시 성동구 용답동 233-6
1,서울특별시 강남구 논현동 237-5
